ID, question, Option 1, Option 2, Option 3, Option 4, Option 5, Answer
371,"The Peace of Westphalia?:","reconfirmed the power and grandeur of the Holy Roman Empire.","gave Sweden new territories along the Baltic Sea coast.","ensured Protestant domination over all of Central Europe.","returned the Continent to the status quo as of 1618.","weakened the Holy Roman Empire.","weakened the Holy Roman Empire."
372,"The St. Bartholomew\'s Day Massacre?:","decimated the ranks of the Protestant leadership but failed to suppress the anti-Catholic movement in Europe.","was successful and led to the collapse of French Protestantism.","demonstrated that the Counter-Reformation in France was essentially a dynastic and class struggle.","was followed by an English effort to assist the Huguenots.","resulted directly in an English effort to assist the Catholics.","decimated the ranks of the Protestant leadership but failed to suppress the anti-Catholic movement in Europe."
373,"The Thirty Years\' War became primarily a political conflict during the?:","Danish phase.","Italian phase.","Swedish-French phase.","Bohemian phase.","Swedish phase.","Swedish-French phase."
374,"In general, which of the following MOST accurately reflects the state of Europe in 1648?:","the northwest of Europe was predominantly Protestant while the south was mostly Catholic.","Catholicism was triumphant everywhere in Europe.","Protestants were the majority population in every Western European country.","the Holy Roman Empire emerged as a completely Lutheran sphere of influence.","France lost in her struggle with the Habsburgs to become the dominant land power in Europe.","the northwest of Europe was predominantly Protestant while the south was mostly Catholic."
375,"All of the following were consequences of the Thirty Years\' War EXCEPT the?:","settlement of the religious wars between Catholics and Protestants in Germany.","depopulation and economic stagnation of Central Europe.","emergence of Russia as a great European power.","predominance of France in Europe.","decrease of the power of the Holy Roman Emperors.","emergence of Russia as a great European power."
376,"The Church\'s view of witchcraft was that?:","there was no such thing, since there was no supernatural power except that of God.","women were less involved in witchcraft than men because they inherited the spiritual grace of the Virgin Mary.","witchcraft was a heresy or a spiritual crime only, and was no business of the secular authorities.","witches must be put to death for the good of society, but they might achieve salvation if they recanted before execution.","none of these choices are correct.","witches must be put to death for the good of society, but they might achieve salvation if they recanted before execution."
377,"The rebellions that swept through Europe at the time of the Thirty Years\' War indirectly resulted in?:","a decline in the power of the European middle class.","a tremendous decline of wealth in Spain.","the end of serfdom in Eastern Europe.","a huge increase in eastern Mediterranean trade.","an increase in the power of the European monarchies.","an increase in the power of the European monarchies."
378,"Historians who argue that the Treaties of Westphalia mark the beginning of a new era in diplomatic history cite all of the following arguments EXCEPT?:","papal objections to the treaties were ignored and the treaties did not receive papal sanction.","the Austrian Habsburgs abandones their Spanish cousins.","the German territorial princes acquired the right to sign treaties and made war, except against the emperor and the empire.","Sweden emerged as one of the strongest powers in Europe.","the treaties laid the groundwork for the subsequent rise of Russia as a major Continental power.","the treaties laid the groundwork for the subsequent rise of Russia as a major Continental power."
379,"The mission of the Spanish Armada in 1588 was to?:","acquire territory in the Baltic area.","reunite the throne of Spain.","support the rebellion in the Netherlands.","replace Queen Elizabeth with a Catholic monarch.","form a naval alliance with France.","replace Queen Elizabeth with a Catholic monarch."
380,"The  Malleus Maleficarum ?:","for years was considered the standard handbook on witches.","gave details on how to gain a confession from a heretic.","was used by the Church to prove that witches did not really exist.","was written by John Calvin.","was used by Martin Luther to justify his view of salvation by faith alone.","for years was considered the standard handbook on witches."
381,"Following the Thirty Years\' War, what country became dominant in Europe?:","Sweden.","France.","Spain.","Germany.","Bohemia.","France."
382,"The 16c religious wars that had plagued France were largely ended with the?:","Edict of Nantes.","accession to the throne of Louis XI.","Treaty of Cateau-Cambresis.","massacre of St. Bartholomew\'s Day.","resolution of the Habsburg-Bourbon conflict by the Peace of Augsburg.","Edict of Nantes."
383,"Which of the following is TRUE of the Dutch Revolt?:","the nobleman, William of Orange, led the revolt.","the Dutch flooded their own lands to hamper the Spanish.","the war was both a political and a religious struggle.","the southern provinces pledged loyalty to Spain in exchange for compromises on certain issues.","all of these choices are correct.","all of these choices are correct."
384,"The word vernacular is used to describe?:","the structure of the human skeleton.","a type of crossbow used by British archers in the Hundred Years\' War.","the early printing press typesets.","the spoken language of an area.","a political plot against Medici rule in Florence.","the spoken language of an area."
385,"The dominant trend of government in Renaissance city-states in Italy was from?:","republicanism to despotism.","democracy to theocracy.","absolutism to democracy.","despotism to theocracy.","theocracy to democracy.","republicanism to despotism."
386,"Which of the following locations had the greatest influence on shaping the values of the Italian Renaissance?:","the manor of a nobleman.","the cottage of a serf.","the townhouse of an Italian merchant.","the manufacturing districts of an Italian city.","a Benedictine monastery.","the townhouse of an Italian merchant."
387,"He is sometimes called the "Father of Humanism?:"","Sir Thomas More.","Petrarch.","Boccaccio.","Pico della Mirandola.","Johannes Gutenberg.","Petrarch."
388,"Renaissance education was characterized by?:","emphasis on developing the "complete individual".","tendencies to criticize the Church and openly encourage religious revolt.","little attention to anything but academic pursuits.","a hesitancy to question old teachings.","support of the religious reforms initiated by Savonarola in Florence.","emphasis on developing the "complete individual"."
389,"The favorite classical author of Renaissance scholars was?:","Virgil.","Homer.","Cicero.","Plato.","Euclid.","Cicero."
390,"Which of the following was NOT a characteristic of the Renaissance?:","reemphasis on the culture of antiquity.","search for balance and proportion in politics.","the development of a historical and critical view of the world.","strong anti-Christian sentiment.","confidence in human rationality.","strong anti-Christian sentiment."
391,"The early Renaissance humanists in Italy would have been MOST interested in?:","translating a portion of the Bible into the vernacular.","perfecting the Italian language.","ministering to the sick and other needy people.","analyzing the accounts of the debates of medieval scholastics.","finding an old Greek manuscript.","finding an old Greek manuscript."
392,"Castiglione, in his work,  The Courtier ?","provided a handbook for politicians.","suggested the proper social graces for a young Renaissance noble.","supported the power of the monarch.","condemned the Church.","insisted upon the complete equality of social classes.","suggested the proper social graces for a young Renaissance noble."
393,"The literary masterpiece that satirized the ideals of knighthood and chivalry was written by?:","Rabelais.","Erasmus.","Cervantes.","Castiglione.","Petrarch.","Cervantes."
394,"Renaissance courtiers were?:","people who worked for the Venetian Republic.","slaves of the  doge  of Venice.","people who served a prince in multiple political and administrative ways.","military leaders whose conquests spread the Renaissance to northern Europe.","people who served in the Vatican as papal pages.","people who served a prince in multiple political and administrative ways."
395,"Civic humanists?:","advocated active service to the city-state.","opposed the use of public funds to patronize artists.","supported a theocracy in Florence.","advocated a life of scholarly contemplation.","opposed the republican form of government.","advocated active service to the city-state."
396,"Northern humanists differed from their Italian predecessors?:","by concentrating on the ancient Greek authors.","in that they had no need for rich patrons to support their work.","in their focus on the textual reexamination of the Bible and the writings of the early Church Fathers.","by refusing to use the vernacular in their work.","in their interest in medieval history.","in their focus on the textual reexamination of the Bible and the writings of the early Church Fathers."
397,"Art and sciences are not cast in a mold, but are perfected by degrees, by often handling and polishing, as bears leisurely lick their cubs into form.  (Michel de Montaigne,  Works II. xii , 1533-1592)","skepticism concerning known or revealed truth.","atheism and his subsequent execution as a heretic.","scientific methodology concerning experimentation in the natural sciences.","relativism in reference to absolute good or evil.","enlightened despotism as the most desireable form of government.","skepticism concerning known or revealed truth."
398,"Mannerist art was characterized by?:","formality, balance, restraint.","emphasis on decorative design.","extravagant use of bright colors and abstract design.","distorted human figures and unnatural lighting effects.","simplicity in human figures similar to Gothic sculpture.","distorted human figures and unnatural lighting effects."
399,"According to Jacob Burckhardt, the Renaissance represented?:","the greatest period of economic recovery in the history of Western civilization.","a period of moral decline.","an era of tremendous graft and corruption in Italian government.","a distinct break from the Middle Ages.","none of these choices are correct","a distinct break from the Middle Ages."
400,"Pico della Mirandola\'s  Oration on the Dignity of Man  stated that?:","humans were fallen creatures, but regain their place by following God\'s will.","God gave humans free will so that they could choose to be earthly or spiritual creatures.","human beings were nothing more thn undifferentiated animals.","only through prayer and good works could man achieve his full potential.","humans were divine and destined to spiritual life.","God gave humans free will so that they could choose to be earthly or spiritual creatures."
401,"Liberal education in the Renaissance included all of the following EXCEPT?:","the study of military theory.","a stress on physical education.","the mastery of Greek and Latin.","the study of music.","the ability to write poetry and appreciate good works of art.","the study of military theory."
402,"Thomas More\'s  Utopia ?:","illustrated the northern humanists\' break with the Catholic church.","represented the high point of northern humanist thought.","led to his execution at the hands of Henry VIII.","presented a revolutionary social order based on communal living and property.","stressed that the end always justified the means in politics.","presented a revolutionary social order based on communal living and property."
403,"The Prince  argued that?:","a prince must always behave in a moral fashion.","the prince\'s highest obligation was to God.","the prince\'s highest obligation was the preservation of his state.","the prince must give one-half of his wealth to the poor and to the Church.","the prince\'s highest duty was the accumulation of personal wealth.","the prince\'s highest obligation was the preservation of his state."
404,"Italian Renaissance art can be most appropriately described as?:","a revolt against the classical style and the advancement of a new artistic standard based on humanism.","NeoClassicism in which the traditional characteristics of harmony and symmetry were valued.","characterized by the spectacular and the deliberately nonsymmetrical.","romantic idealism predicated upon notions of secular fantasy.","the triumph of symbolism.","NeoClassicism in which the traditional characteristics of harmony and symmetry were valued."
405,"Lorenzo Valla gained fame for?:","becoming ruler of the Renaissance city of Florence.","his inventions.","challenging the authority of Voltaire.","proving the Donation of Constantine a fraud.","helping to unify Italy.","proving the Donation of Constantine a fraud."
406,"Construed as an intellectual threat to the Church, Humanism?:","argued that the episcopal order of the Roman church should be altered.","condemned the Church for not addressing the needs of the poor.","identified with the New Science, which the Church opposed.","challenged papal supremacy.","maintained that the true source of authority within the Church was scripture.","maintained that the true source of authority within the Church was scripture."
407,"The primary reason for Bolshevik success in taking over the government in November, 1917 was?:","the overwhelming support the Bolsheviks had from the masses of the Russian people.","the collapse of workers\' and soldiers\' soviets, which had been the backbone of Provisional Government support.","the abdication of the Tsar and his son.","the inability of the Provisional Government to solve the overwhelming problems facing the Russian people.","the support given to Lenin and the Bolsheviks by Western democracies that wished to keep Russia in the war.","the inability of the Provisional Government to solve the overwhelming problems facing the Russian people."
408,"Which of the following best describes the wartime Russian government?:","Holy man Rasputin ran the bureaucracy efficiently.","The Tsarina Alexandra kept Nicholas ignorant of domestic problems.","The general population was largely supportive of the war.","Newer weapons kept Russian losses to a minimum.","Numerous reforms kept the peasants happy.","The Tsarina Alexandra kept Nicholas ignorant of domestic problems."
409,"After the Revolution of 1905 in Russia?:","the Tsar\'s powers of appointment and decision-making were curtailed.","the government tried to estrengthen the village-communal system of agriculture in order to improve conditions of the peasants.","Russia at last adopted the Western model of representative assemblies and political parties.","workers were granted new rights to welfare and participation.","all of these choices are correct.","Russia at last adopted the Western model of representative assemblies and political parties."
410,"Stalin\'s policy in postwar Russia is best characterized as?:","rapid industrialization and agricultural collectivism.","rearmament was given first priority in industry.","a planned economy organized into syndicates of labor and management.","a laissez-faire policy.","the state annexed the means of production outright.","rapid industrialization and agricultural collectivism."
411,"Which of the following was the result of the Treaty of Brest-Litovsk with Germany in 1918?:","Russia lost one-third of her total area.","it strengthened the government of Alexander Kerensky.","Russia gained control of the Baltic territories.","Russia signed a military alliance with the Western powers.","Russia gained territorial concessions from Germany in Eastern Europe.","Russia lost one-third of her total area."
412,"Trotsky and Stalin\'s interpretations of Marxism differed most significantly in which of the following ways?:","Stalin wanted to foster revolution in Western Europe while Trotsky wanted to develop the Soviet Union first.","Trotsky wanted to foster world revolution while Stalin wanted "to build Socialism in one country.","Stalin was a Bolshevik; Trotsky was a Menshevik.","Trotsky was a deviationist; Stalin followed the Party line.","Stalin believed that Russia was too backward to support Communism; Trotsky believed the opposite.","Trotsky wanted to foster world revolution while Stalin wanted "to build Socialism in one country."
413,"The benefits of the Soviet system included all of the following EXCEPT?:","full employment.","low-cost utilities.","ample, inexpensive food.","free education.","cheap housing.","ample, inexpensive food."
414,"Which slogan expresses the ideal of the Bolshevik Revolution of 1917?:","Bread, Land, Peace.","Liberty, Equality, Fraternity.","Nationalism, Democracy, The People\'s Livelihood.","Russification.","Lebensraum.","Bread, Land, Peace."
415,"Which of the following was not part of Count Witte&#8217;s policy of industrialization?:","banking reform to encourage domestic savings and investment.","promotion of foreign investment in Russian industry.","construction of the trans-Siberian railroad.","protective tariffs to support emerging Russian industries.","nationalization of key industries such as coal and steel.","nationalization of key industries such as coal and steel."
416,"Which of the following statements is most valid regarding the October Manifesto issued by Czar Nicholas II in 1905?:","it precipitated a general strike that paralyzed the economy.","it brought about significant constitutional reform of the government.","it created a Duma, to which the czar\'s ministers were directly responsible.","it was an expedient and temporary promise of reform in response to civil unrest.","it imposed martial law and suppressed anti-governmental political activities.","it was an expedient and temporary promise of reform in response to civil unrest."
417,"Which country did NOT send troops to fight against the Bolsheviks in the Civil War?:","Britain.","Japan.","France.","the United States.","Germany.","Germany."
418,"At the heart of the Soviet Five-Year Plan was the idea that?:","Soviet foreign trade would improve if customers could sign five-year contracts.","the Communist Party should let the state handle economic policy without interfering.","central party-state control could replace capitalist self-regulation of economic resources.","workers and farmers would be able to plan vacations more effectively if they had five-year work schedules.","Soviet citizens should be allowed to own their own small stores and shops.","central party-state control could replace capitalist self-regulation of economic resources."
419,"Lenin had to adapt pure Marxist ideology to the situation in Russia because?:","workers in Russia played virtually no part in the activities of March 1917.","the majority of the Russian population were peasants, and Marx said little about peasants\' revolutionary potential.","Marxism had taken on too much of a religious nature, and religion did not appeal to the atheistic masses in Russia.","few revolutionary groups in Russia were acquainted with Marx\'s philosophy or plan of action.","none of these choices are correct.","the majority of the Russian population were peasants, and Marx said little about peasants\' revolutionary potential."
420,"Which of the following best characterizes the Russian Provisional Government of March-November 1917?:","a group of radical intellectuals committed to world revolution.","monarchists who supported the czar.","radical workers led by the Communists.","military commanders who wanted to install a dictatorship.","middle-class and intellectual leaders who had little sympathy for workers and peasants.","middle-class and intellectual leaders who had little sympathy for workers and peasants."
421,"Which of the following BEST describes the essence of Lenin\'s New Economic Policy (NEP)?:","mass opportunities for education.","rapid industrialization and emphasis upon heavy industry.","trade with Western nations.","a significant resumption of private ownership.","a huge increase in consumer products.","a significant resumption of private ownership."
422,"The Kronstadt Rebellion was caused by?:","the economic disaster and social upheaval of the Russian Civil War.","the desire of Ukrainian naval officers to secede from the new Soviet Union.","the collapse of Germany in October/November 1917.","the influence of the Spartacist movement.","troops sympathetic to Poland.","the economic disaster and social upheaval of the Russian Civil War."
423,"The Soviet controlled Comintern (Communist International) was?:","the name Stalin chose for the Communist party.","the policy of covertly financing subversive organizations in western Europe and the United States.","an organization that sought to coordinate revolutionary activities of communist parties abroad.","a branch of the Soviet Military dedicated to acquiring overseas colonies for the Soviet Union.","an organization of international artists and writers who supported the Russian Revolution.","an organization that sought to coordinate revolutionary activities of communist parties abroad."
424,"Which of the following is a uniquely Russian contribution to Marxist theory?:","the sole determinant of value is human labor.","the proletariat inevitably becomes conscious of its revolutionary mission.","capitalism resulted in a great increase in human capacity to produce economic goods.","a communist revolution must be led by a party of professional revolutionaries.","the operations of capitalists will inevitably bring about the destruction of the capitalist system.","a communist revolution must be led by a party of professional revolutionaries."
425,"Lenin called the system through which he implemented his political and economic policies in the 1918-1919 period?:","people\'s democracy.","communism triumphant.","war communism.","socialist revolutionism.","dictatorship of the proletariat.","war communism."
426,"The Ptolemaic conception of the universe was also known as?:","the lunacentric conception.","God\'s master plan.","the geocentric theory.","the expanding universe.","the heliocentric concept.","the geocentric theory."
427,"Tycho Brahe?:","was a major supporter of Copernicus\' theory within the scientific community.","did most of his work in Italy.","was condemned by the Church and burned at the stake for his beliefs.","recorded astronomical data from the observatory he built in Denmark.","was a Protestant minister who attacked the new modes of scientific inquiry.","recorded astronomical data from the observatory he built in Denmark."
428,"Sir Francis Bacon\'s contribution to philosophy, Novum Organum, was based upon?:","developing Neo-Platonism.","developing Scholasticism.","the Socratic Method.","expanding rationalism.","glorifying inductive reasoning.","glorifying inductive reasoning."
429,"Newton\'s mathematical discoveries included?:","calculus, a mathematical means of measuring rates of change.","algebra and set theory.","geometry.","the whole number system.","atomic physics.","calculus, a mathematical means of measuring rates of change."
430,"All of the following were causes of the Scientific Revolution EXCEPT?:","improvements in scientific instruments.","the contributions of medieval universities.","the recovery of classical scholarship during the Renaissance.","the challenges of navigation during long sea voyages.","the active support of the papacy.","the active support of the papacy."
431,"Which of the following statements most accurately reflects the attitude of the states of Europe toward the new science?:","in France and other Catholic countries, monarchs attempted to suppress the new science.","outside of Italy and Poland, the new science was scarcely known.","both England and France established royal societies of learned scientists to meet together and discuss their discoveries.","the Russian Tsars welcomed western scientists who were persecuted for their views.","the new science withered as a result of the failure to establish practical colleges devoted to the application of the new theories.","both England and France established royal societies of learned scientists to meet together and discuss their discoveries."
432,"Galileo\'s ideas on motion included?:","the idea that a rush of air behind a projectile kept it in motion.","the principle of inertia.","the law of force times distance.","the spring reaction model.","objects fall at different speeds depending on their size.","the principle of inertia."
433,"The Scientific Revolution?:","proved that women were physically inferior to men.","supported the idea that men were more important than women in the reproductive process.","proved that women were mentally inferior to men.","challenged the idea that women were inferior to men.","none of these choices are correct.","challenged the idea that women were inferior to men."
434,"The Scientific Revolution challenged Christianity because?:","it undermined the literal interpretation of the Bible.","it proved Jesus was not divine.","it proved that God did not exist.","it proved the resurrection never took place.","it undermined the authority of the Pope.","it undermined the literal interpretation of the Bible."
435,"As a result of the scientific theories developed through the 16c and 17, Europeans developed a conception of the universe?:","as geocentric.","as guided in every physical realm by a personal God.","as chaotic, reflective of chance.","as governed by natural laws.","as Aristotelian in makeup.","as governed by natural laws."
436,"Spinoza differed with all other philosophers of his day about the?:","divinity of the material universe.","rational elements of Christianity.","Copernican view of the universe.","dangers to European civilization of the Jewish faith.","natural inferiority of women as scientists.","divinity of the material universe."
437,"Galileo Galilei is credited with what important scientific discovery?:","the organ responsible for circulating blood is the heart.","inductive observation, the development of hypotheses, experimentation, and orgranization are the keys to scientific industry.","all objects fall with equal acceleration, not velocity.","mathematics can describe natural phenomena.","the earth revolves around the sun.","all objects fall with equal acceleration, not velocity."
438,"Which of the following was NOT a difficulty with the Aristotelian cosmos?","It did not explain why planets did not appear to be equidistant from earth.","It accurately predicted the movement of the planets.","It advanced complicated hypotheses such as the epicycles.","It did not explain why the seasons were not equal.","It failed to account for the movement of the planets.","It failed to account for the movement of the planets."
439,"Descartes\' idea was that the world consists of two fundamental entities or substances, which we can call?:","water and air.","the physical and the spiritual.","reason and passion.","deduction and induction.","real and unreal.","the physical and the spiritual."
440,"Medieval science was primarily based on?:","close observation of nature.","pure superstitions.","the experimental method.","a blending of Christian theology and the writings of classical authors.","decrees emanating from the papacy.","a blending of Christian theology and the writings of classical authors."
441,"In  De humani corporis fabrica , Andrea Vesalius?:","devised a model of the universe.","discussed chemical treatments for disease.","created a modern anatomy text.","explained a theory of human evolution.","wrote the classic text on magic and alchemy.","created a modern anatomy text."
442,"The Newtonian, scientific model of the universe is?:","mechanistic and predicable.","irrational and holistic.","organic and poetic.","mythological and magical.","holistic and providential.","mechanistic and predicable."
443,"The Scientific Revolution and Deism radically transformed Western thinking by?:","reaffirming the idea of original sin.","requiring all previous scientific writings to be burned.","turning the best minds away from literature and to science and technology.","placing a new emphasis on irrationalism and mysticism.","introducing the idea of secular progress.","introducing the idea of secular progress."
444,"Hitler\'s primary motivation for the invasion of the Soviet Union was?:","to eliminate any possible resistance to German expansion in the Balkans and the Near East.","to block the westward expansion of Japan in Asia.","to knock Russia out of the war so that all his forces could be focused against the French and the British.","to destroy Bolshevism and acquire  lebensraum  for German colonization.","to exterminate the Slavic population, which he believed to be a threat to German mastery of Europe.","to destroy Bolshevism and acquire  lebensraum  for German colonization."
445,"Which aspect of the conduct of World War II DIFFERED from that of World War I?:","widespread bombing of civilian populations by both sides.","dependence upon systems of alliances.","women were a very effective part of the war production effort.","use of propaganda by both sides.","conscription of armies from civilian populations.","widespread bombing of civilian populations by both sides."
446,"A significant British invention that helped turn the tide in the Battle of Britain against Germany was?:","poison gas.","radar.","V-2 rockets.",""Tiger" tank.","sonar.","radar."
447,"Which aspect of German strategy was employed during BOTH World Wars I and II?:","a large-scale military push early in the war in the Balkans.","formation of an alliance with Japan.","violation of Belgium\'s neutrality in order to attack France.","respect for the rights of the U. S. on the sea.","invasion of North Africa to seize the Suez Canal.","violation of Belgium\'s neutrality in order to attack France."
448,"A social historian would be most likely interested in researching which of the following topics related to World War II?:","the diplomatic correspondence between Churchill and Roosevelt.","the confrontations that exacerbated the Cold War.","Allied troop landings on the coast of Normandy in 1944.","the creation and structure of the United Nations","women\'s participation in the labor force during the war","women\'s participation in the labor force during the war"
449,"The success of  blitzkrieg  depended mainly on superiority in?:","zeppelin production.","air power plus mobile ground troops.","manpower.","chemical weapons.","naval power.","air power plus mobile ground troops."
450,"The major strategic reason for Allied landings in Italy was to?:","force Mussolini to resign.","rescue Jewish children being hidden in Catholic convents and monasteries.","free Rome and liberate the Catholic Church.","open a second front to take the pressure off the Soviets.","avoid a costly cross-Channel invasion of Europe.","open a second front to take the pressure off the Soviets."
451,"The important decision made by leading German officials at the Wannsee Conference was?:","to develop an atomic bomb.","to invade the Soviet Union.","to begin daytime air raids over Great Britain.","to back up Japan\'s declaration of war on the United States.","to begin implementation of the "Final Solution" to the Jewish Question.","to begin implementation of the "Final Solution" to the Jewish Question."
452,"The chief argument between Truman and Stalin at Potsdam in July, 1945, was over?:","free elections in eastern Europe.","the numbers of tanks Americans and Russians could keep in Europe.","whether Russian Jews would be compensated for the Holacaust","what to do with German prisoners of war.","whether or not the Soviet Union would join the United Nations.","free elections in eastern Europe."
453,"Why was the Atlantic Charter of 1941 critical to colonial peoples?:","in it, the United States promised to intervene militarily in the process of decolonization.","it promoted the concept that all people had the right to choose the form of government under which they live.","it stated that the United States would not support any European countries who had colonies.","it promised membership for all colonial governments in the United Nations.","it forced all European governments to withdraw immediately from their colonies after the conclusion of World War II.","it promoted the concept that all people had the right to choose the form of government under which they live."
454,"After Hitler occupied most of France, the remainder of the country became?:","Communist France under Mendez France.","very prosperous.","Free France under Charles de Gaulle.","Republican France under Georges Clemenceau.","Vichy France under Marshall Henri Petain.","Vichy France under Marshall Henri Petain."
455,"The tide turned in the Russian theater turned in favor of the Russians when?:","German forces were beaten by the Russians in Poland.","Allied forces came to the aid of Russian troops in Iran.","German forces were surrounded and captured at the crucial battle of Stalingrad.","German forces mutinied and abandoned the siege of Leningrad.","Hitler refused to send further supplies to the German troops besieging Moscow.","German forces were surrounded and captured at the crucial battle of Stalingrad."
456,"Nazi occupation in Western Europe differed from that in the east in that?:","people in western countries were glad to collaborate with the Germans.","Nazi occupation was more extremely brutal in the east, because of Nazi racial ideology.","they introduced five-year plans in the east, but not in the west.","the Nazis treated captured American and British soldiers more humanely in the west than in the east.","Jews were lumped together with Slavic peoples in the east, and so escaped the worst of the Holocaust there.","Nazi occupation was more extremely brutal in the east, because of Nazi racial ideology."
457,"All of the following groups were particularly singled out by the Nazis for extermination EXCEPT?:","Jews.","homosexuals.","the physically handicapped.","Christian clergy.","gypsies.","Christian clergy."
458,"Winston Churchill\'s vision for the postwar world?:","stressed the balance of power to check the Soviets, and resisted ending colonial empires.","sought expansive advantages to guarantee security for his own nation, based on suspicions about his two Allied counterparts.","imagined the continuation of the Grand Alliance into the postwar world as "Policeman" of world peace and order.","placed first priority in reviving a strong international organization to achieve collective security.","all of these choices are correct.","stressed the balance of power to check the Soviets, and resisted ending colonial empires."
459,"President Roosevelt and Prime Minister Churchill announced at their wartime conference in Casablanca that their principal war aim was to?:","promote the national independence of Third World nations.","topple the pro-fascist governments in Spain and Argentina.","force the unconditional surrender of both Germany and Japan.","destroy the last remnants of European imperialism.","contain the postwar power of the Soviet Union.","force the unconditional surrender of both Germany and Japan."
460,"Most Lend-Lease aid was sent to?:","Spain and Ethiopia.","the Soviet Union and Great Britain.","Greece and Turkey.","Spain and Italy.","Great Britain and France.","the Soviet Union and Great Britain."
461,"What exception to unconditional surrender were the Japanese allowed?:","none of the Japanese high command would be tried for war crimes.","the Japanese were allowed to continue to build jet airplanes.","Japan would not have to take responsibility for the attack on Pearl Harbor.","the Japanese were allowed to keep some of the Pacific islands that they had occupied.","Emperor Hirohito was retained by the Japanese.","Emperor Hirohito was retained by the Japanese."
462,"All of the following were results of World War II EXCEPT?:","the creation of new states in Europe.","the positioning of the United States as a world power.","the loss of colonial empires by European nations.","Japan\'s adoption of a democratic constitution.","the adoption of the United Nations Charter.","the creation of new states in Europe."
463,"Which statement expressed a defense used by some Nazi was criminals at their trials in an attempt to justify their actions during World War II?:","in a war, loss of lives cannot be avoided.","the end justifies the means.","a person should be held personally responsible for his or her own actions.","one\'s behavior is not accountable when one is following orders.","those who hold power have the right to exercise it in any way they see fit.","one\'s behavior is not accountable when one is following orders."
464,"The Austrian annexation of Bosnia in 1908 threatened the nationalist aspirations of which of the following countries?:","Turkey.","Rumania.","Serbia.","France.","Herzegovina.","Serbia."
465,"One of the most dangerous outcomes of the Bosnian crisis was that?:","Austria lost the provinces of Bosnia and Herzegovina, encouraging the further dismemberment of the empire.","Russia and Serbia were humiliated, encouraging them to more reckless and belligerent actions in the future.","England and France suffered a diplomatic defeat as Russia advanced toward the Mediterranean.","Germany began to back away from its support of Austria because Austria threatened the peace of Europe.","none of these choices are correct.","Russia and Serbia were humiliated, encouraging them to more reckless and belligerent actions in the future."
466,"All of the following were contributory causes of World War I EXCEPT?:","imperialist rivalries.","economic competition.","the arms race.","Bolshevism.","Balkan nationalism.","Bolshevism."
467,"The dismissal of Bismarck by Kaiser William II paved the way for an alliance between which of the following countries during World War I?:","France and Russia.","Germany and Italy.","Serbia and Russia.","Great Britain and Belgium.","Germany and Austria-Hungary.","France and Russia."
468,"At the Paris Peace Conference, the two major powers NOT represented were?:","Italy and Germany.","Turkey and China.","Germany and Russia.","Russia and Japan.","Germany and Japan.","Germany and Russia."
469,"Which state existed in 1919, but NOT in 1914?:","Poland.","Denmark.","Sqitzerland.","Belgium.","Sweden.","Poland."
470,"The Schlieffen Plan indicated that the German General Staff?:","did not expect to go to war with Russia.","expected a long, drawn-out war.","anticipated a war on two fronts.","did not expect Austria-Hungary to honor the Triple Alliance.","were relying heavily on Italy and the Ottoman Empire.","anticipated a war on two fronts."
471,"The major factors that led to German surrender were?:","exhaustion of German resources and manpower.","stiffened allied resistance following the Treaty of Brest-Litovsk.","British/Arab victory in the Middle East and the surrender of the Ottoman Empire.","the collapse of Austria-Hungary.","all of these choices are correct.","all of these choices are correct."
472,"As public morale weakened in the later stages of the war?:","workers\' strikes lessened because of brutal suppression.","Clemenceau\'s liberal French government let internal dissent dictate government policy.","propaganda posters lost all meaning and were abandoned.","police powers were expanded to include the arrest of dissenters as traitors.","the number of new recruits in France and England decreased.","police powers were expanded to include the arrest of dissenters as traitors."
473,"On the eve of the outbreak of war in Europe in 1914, William II of Germany?:","attempted to engage Nicholas II in a diplomatic dislogue to avoid war if at all possible.","was plotting the overthrow of Nicholas II of Russia.","sent ultimatums to England and France that were so clumsy and insulting as to make war a certainty.","invited Bismarck to resume his role as Chancellor.","was intentionally provoking the Russians to attack Austria and set off World War I.","attempted to engage Nicholas II in a diplomatic dislogue to avoid war if at all possible."
474,"The blank check that Kaiser William gave Austria on July 5, 1914?:","promised complete German funding of the total amount needed to update the Austrian armed forces.","provided clear assurance of German military support for Austria-Hungary against Serbia.","confirmed a huge German loan for Austrian economic development.","attempted to revive the Austro-Russo-German partnership.","assured the Tsar that Serbia would not be invaded by Austria-Hungary.","provided clear assurance of German military support for Austria-Hungary against Serbia."
475,"What is the social significance of women working in factories during World War I?:","due to the wartime shortage of male workers, even the supervisors were women.","women were found to be more adept than men at close detail work.","universal suffrage had been granted with the outbreak of war, and women used the vote as leverage for getting industrial jobs.","the vital contribution of women to the war effort helped in their liberation from narrow social roles.","only women in those days would accept such tedious, menial work.","the vital contribution of women to the war effort helped in their liberation from narrow social roles."
476,"To break the deadlock of trench warfare, nations resorted to all of the following EXCEPT?:","the use of tanks.","widespread use of poison gas.","artillery barrages.","unrestricted submarine warfare.","increased dependence on cavalry.","increased dependence on cavalry."
