ID, question, Option 1, Option 2, Option 3, Option 4, Option 5, Answer
1881,"The Federal Reserve System's Board of Governors sets discount rates at a higher level","to assist incumbent presidents near election time.","thus lowering the cost of money and stimulating borrowing.","to combat high unemployment.","to increase the amount of money in circulation.","to decrease the amount of money in circulation.","to decrease the amount of money in circulation."
1882,"Which of the following is NOT one of the measures used by the Fed to control the moneysupply?","It sets discount rates for the money that banks can borrow from the Federal Reserve.","It can buy and sell government securities in the market, thereby either expanding or contracting the money supply.","It sets reserve requirements that determine the amount of money that banks must keep in reserve at all times.","It dictates the minimum prime lending rate by commercial banks.","none of the above","It dictates the minimum prime lending rate by commercial banks."
1883,"Which of the following is NOT influenced in a major way by the actions of the Fed?","money supply","inflation","commercial interest rates","the minimum wage","the unemployment rate","the minimum wage"
1884,"Fiscal policy is","taxing, spending, and borrowing decisions shaped mostly by Congress and the president.","the manipulation of interest rates by the government to affect economic growth rates.","based on the principle that government should not meddle with the economy.","the manipulation of the supply of money and credit in private hands.","the reduction of taxes in order to stimulate the economy.","taxing, spending, and borrowing decisions shaped mostly by Congress and the president."
1885,"Taxing, spending, and borrowing decisions by Congress and the president are knowncollectively as","fiscal policy.","econometrics.","supply-side economics.","monetary policy.","laissez faire.","fiscal policy."
1886,"The most important political action in setting monetary policy is","Congress.","secretary of the treasury.","the president.","the Federal Reserve.","International Monetary Fund.","the Federal Reserve."
1887,"An important tool in fiscal policy is the","control of interest rates.","level of government spending as indicated in the budget.","use of price supports.","amount of money banks must keep on deposit.","all of the above","level of government spending as indicated in the budget."
1888,"Taxing, spending, and borrowing policies of the federal government are called","fiscal policy.","tax expenditure policy.","apportionment policy.","supply-side economics.","monetarism.","fiscal policy."
1889,"Keynesian economic theory argues for","the government keeping its hands off the economy.","stimulating the economy through manipulating the nation's money supply.","stimulating the economy through massive tax cuts and reducing the size of the national government.","stimulating the economy through government spending programs.","government wage and price controls to control inflation.","stimulating the economy through government spending programs."
1890,"________ encourages government to create jobs for people during times of severeunemployment in order to get money into the hands of consumers and stimulate the entireeconomy.","Supply-side economics","Industrial policy","Laissez faire","Monetary policy theory","Keynesian economic theory","Keynesian economic theory"
1891,"The Keynesian economic theory argues that government's role in an economic depressionshould be to","reduce demand.","lower taxes.","increase demand.","increase supply.","increase the total money supply with lower interest rates.","increase demand."
1891,"The Keynesian economic theory argues that government's role in an economic depressionshould be to","reduce demand.","lower taxes.","increase demand.","increase supply.","increase the total money supply with lower interest rates.","increase demand."
1893,"The economic theory that would argue that government can spend its way out of a depressionby stimulating the economy through spending is","Keynesianism.","Marxism.","Reaganomics.","monetarism.","red ink economics.","Keynesianism."
1894,"Jumping into the business of consumer protection in the 1960s and 1970s, the ________ madenew rules about product labeling, exaggerated product claims, and the use of celebrities inadvertising.","Federal Trade Commission","Consumer Products Safety Commission","Food and Drug Administration","Clayton Antitrust Act","Consumer Protection Agency","Federal Trade Commission"
1895,"________, supported by President Reagan, was encouraged by the economist Arthur Laffer.","Deficit spending","Supply-side economics","Keynesian economic theory","A strict laissez-faire system","Monetarism","Supply-side economics"
1895,"________, supported by President Reagan, was encouraged by the economist Arthur Laffer.","Deficit spending","Supply-side economics","Keynesian economic theory","A strict laissez-faire system","Monetarism","Supply-side economics"
1897,"President Reagan's economic policies emphasized","balanced budgeting through across-the-board cuts in all categories of government spending.","the application of Keynesian economic theory to stimulate or slow the economy through lowering or raising taxes.","supply-side economics in which tax cuts and deregulation are designed to free funds for savings and investment.","industrial policy which targeted high tech industries for government assistance in helping them develop and compete in international markets.","first balancing the budget and then cutting taxes.","supply-side economics in which tax cuts and deregulation are designed to free funds for savings and investment."
1898,"George W. Bush's tax cuts in 2001 were based on","stagflation.","the Federal funds rate.","supply-side economics.","Keynesian economics.","hyperinflation.","supply-side economics."
1899,"Major corporate corruption scandals in the 1990s","were largely ignored by Congress.","were ignored by conservatives.","have had few economic effects.","followed an era of corporate concentration.","resulted in prosecution.","followed an era of corporate concentration."
1900,"Since the 1980s big business was particularly characterized by","the breakup of many multinational corporations.","an increase in corporate mergers.","a decline in foreign competition.","an increase in government regulation.","an increase in ethical concerns.","an increase in corporate mergers."
1901,"The Sherman Act of 1890 was passed as ________ measure.","a tariff reform","a monetary reform","a Civil War reparations","an antitrust","a pro-labor","an antitrust"
1901,"The Sherman Act of 1890 was passed as ________ measure.","a tariff reform","a monetary reform","a Civil War reparations","an antitrust","a pro-labor","an antitrust"
1903,"A famous and recent antitrust case pursued by the Clinton administration involved","Disney Enterprises.","McDonald's.","Microsoft.","AT&T.","none of the above","Microsoft."
1904,"Which of the following is NOT true about the Food and Drug Administration?","It has the responsibility to ascertain the safety and effectiveness of new drugs before approving them for marketing in America.","It has broad regulatory powers over the manufacturing, contents, marketing, and labeling of food and drugs.","It has the regulatory power to cap the retail prices of food and drugs and prevent profiteering by food and drug companies.","Recent budget cuts have left it overburdened and seriously understaffed.","All of these are true.","It has the regulatory power to cap the retail prices of food and drugs and prevent profiteering by food and drug companies."
1905,"The first major consumer protection policy was the","Product Safety Act.","Food and Drug Act.","Environmental Protection Act.","Wagner Act.","Consumer Credit Protection Act.","Food and Drug Act."
1906,"Prior to the New Deal era of the 1930s, the national government","usually allied itself with business elites to squelch labor unions.","forbade workers from joining unions.","actively encouraged workers to join unions.","guaranteed collective bargaining rights for those workers who formed a viable union.","set long prison terms for anyone convicted of unionization activity.","usually allied itself with business elites to squelch labor unions."
1907,"The right of American workers to collective bargaining was first guaranteed by the NationalLabor Relations Act, also known as the ________ Act.","Taft-Hartley","Clayton Antitrust","Wagner","Roosevelt","Hawley-Smoot","Wagner"
1908,"Which of the following is NOT true of the Wagner Act?","It gave states the power to adopt right-to-work laws.","It stated that the right of workers to collective bargaining was guaranteed by the national government.","It represented a sharp break with the government's traditional anti-labor stance.","It barred employers from firing or discriminating against a worker who advocates the possibility of unionizing.","none of the above","It gave states the power to adopt right-to-work laws."
1908,"Which of the following is NOT true of the Wagner Act?","It gave states the power to adopt right-to-work laws.","It stated that the right of workers to collective bargaining was guaranteed by the national government.","It represented a sharp break with the government's traditional anti-labor stance.","It barred employers from firing or discriminating against a worker who advocates the possibility of unionizing.","none of the above","It gave states the power to adopt right-to-work laws."
1910,"The agency responsible for protecting the public against false and misleading advertising isthe","Food and Drug Administration.","Justice Department.","Product Safety Commission.","Federal Communications Commission.","Federal Trade Commission.","Federal Trade Commission."
1911,"Truth in lending is enforced by the","National Labor Relations Board.","Federal Trade Commission.","Federal Reserve Board.","Justice Department.","Product Safety Commission.","Federal Trade Commission."
1912,"The right of workers to collective bargaining is guaranteed by the","First Amendment.","United States Constitution.","National Labor Relations Act.","Taft-Hartley Act.","Clayton Antitrust Act.","National Labor Relations Act."
1913,"An employer is forbidden to fire or discriminate against a worker who advocates thepossibility of unionizing under a provision of the","Landrum-Griffin Act.","Taft-Hartley Act.","Clayton Act.","Wagner Act.","First Amendment.","Wagner Act."
1914,"The Taft-Hartley Act was aimed at","expanding the rights of organized labor.","requiring employers to provide basic health insurance for their employees.","guaranteeing the right to collective bargaining for the first time in United States history.","establishing a minimum wage.","limiting certain practices by organized labor.","limiting certain practices by organized labor."
1915,"Right-to-work laws were permitted by the","Clayton Antitrust Act.","Wagner Act.","National Labor Relations Act.","Taft-Hartley Act.","Federal Trade Commission.","Taft-Hartley Act."
1916,"Right-to-work laws are supported by","union members, but not necessarily organized unions.","illegal immigrants.","organized labor unions.","business management.","both organized labor unions and management.","business management."
1917,"States were given the right to pass right-to-work laws by the","National Labor Relations Act.","Supreme Court ruling in Standard Oil v. California.","Clayton Antitrust Act.","Taft-Hartley Act.","Sherman Antitrust Act.","Taft-Hartley Act."
1918,"Right-to-work laws prohibit","employers from discriminating against legal aliens in their hiring practices.","discrimination in the work place on the basis of race or gender.","requirements that workers join a union to hold their jobs.","employers from hiring illegal aliens.","the formation of labor unions.","requirements that workers join a union to hold their jobs."
1919,"Government regulation affects businesses like Wal-Mart by","monitoring stock transactions.","affection labor practices such as the minimum wage.","regulating working conditions and labor practices.","none of the above","all of the above (excluding D)","none of the above"
1919,"Government regulation affects businesses like Wal-Mart by","monitoring stock transactions.","affection labor practices such as the minimum wage.","regulating working conditions and labor practices.","none of the above","all of the above (excluding D)","none of the above"
1921,"About ________ of Americans recently reported that they agreed that   success in life is prettymuch determined by forces outside our control.","one-tenth","two-thirds","three-fourths","one-half","seven-eighths","two-thirds"
1922,"Americans believe strongly that","Social Security is a bad policy.","government is responsible for social welfare.","families are responsible for social welfare.","social welfare is a collective good.","people should take personal responsibility for themselves.","people should take personal responsibility for themselves."
1923,"Examples of Social Welfare policies include","entitlements.","means-tested programs.","project grants.","A and B","A and C","A and B"
1924,"Policies that attempt to provide assistance and support to specific groups in society are called","equal opportunity policies.","redistributive policies.","social welfare policies.","tax subsidies.","anti-poverty policies.","social welfare policies."
1925,"Federal spending on social programs ________ spending on the military and homelandsecurity.","is slightly less than","is about the same as","is slightly higher than","is substantially higher than","is much lower than","is substantially higher than"
1926,"Programs to assist the poor have always been","politically popular.","controversial.","supported at increasingly high levels.","provided as entitlements.","none of the above","controversial."
1927,"The government spends more on the ________ than on the ________.","military; civilians","youth; elderly","men; women","non poor; poor","non citizens; citizens","non poor; poor"
1928,"The median American household income is approximately","$27,000.","$32,000.","$46,000.","$59,000.","$60,000.","$46,000."
1929,"Government benefits provided regardless of financial need are called","means-tested.","transfer payments.","entitlements.","non-merit benefits.","generic expenditures.","entitlements."
1930,"An entitlement program is one","to which only a small group of people are entitled.","which requires a means test to qualify.","guaranteed in the Constitution.","which provides benefits regardless of financial need.","none of the above","which provides benefits regardless of financial need."
1931,"The distribution of income across segments of the American population is","just about even.","slightly uneven.","highly uneven.","impossible to gauge.","constantly changing.","highly uneven."
1932,"During the 1960s and 1970s, the income distribution in the United States","grew more equitable.","remained much the same, which is fairly equal.","remained much the same, which is fairly unequal.","grew more unequal.","narrowed considerably.","remained much the same, which is fairly unequal."
1933,"During the 1980s and 1990s, income distribution in the United States","grew more equitable.","remained much the same, which is fairly equal.","remained much the same, which is fairly unequal.","grew more unequal.","narrowed considerably.","grew more unequal."
1934,"________ is the amount of money owned, including stocks, bonds, bank accounts, cars, houses,and so forth.","Income","Wealth","Taxable income","Net earnings","Net profit","Wealth"
1935,"Which of the following is TRUE about wealth and income in American society?","Wealth is distributed less equally than income.","Wealth and income are distributed about the same in society.","Income is distributed less equally than wealth.","Wealth and income are the same thing.","none of the above","Wealth is distributed less equally than income."
1936,"The top one percent of wealth-holders currently possess about ________ of all Americanwealth.","one percent","one tenth","one quarter","one third","one half","one third"
1936,"The top one percent of wealth-holders currently possess about ________ of all Americanwealth.","one percent","one tenth","one quarter","one third","one half","one third"
1938,"The distribution of income in the United States","makes Americans the richest people on earth.","is quite uneven.","has shifted since 1950 towards middle -income people.","is fairly equal compared to most nations in the world.","has shifted notably away from elderly people since 1965.","is quite uneven."
1939,"Statistics show that the distribution of income among American households was most unequalin","1960.","1970.","1980.","1990.","1950.","1990."
1940,"The amount of money collected between two points of time is called","income.","wealth.","taxes.","savings.","asset accumulation.","income."
1941,"Which of the following statements about wealth in the United States is FALSE?","The top one percent of the wealth-holders currently possess about three percent of all American wealth.","The wealth of the richest one percent exceeds the wealth of the bottom 90 percent.","There are now over two million millionaires in the world, most in the United States.","Between 1979 and 1995, the poorest one-fifth of the population saw their real incomes increase, while the richest one-fifth of the population saw their real incomes decrease.","none of the above","Between 1979 and 1995, the poorest one-fifth of the population saw their real incomes increase, while the richest one-fifth of the population saw their real incomes decrease."
1941,"Which of the following statements about wealth in the United States is FALSE?","The top one percent of the wealth-holders currently possess about three percent of all American wealth.","The wealth of the richest one percent exceeds the wealth of the bottom 90 percent.","There are now over two million millionaires in the world, most in the United States.","Between 1979 and 1995, the poorest one-fifth of the population saw their real incomes increase, while the richest one-fifth of the population saw their real incomes decrease.","none of the above","Between 1979 and 1995, the poorest one-fifth of the population saw their real incomes increase, while the richest one-fifth of the population saw their real incomes decrease."
1943,"The share of national income earned by various groups in the United States is described by theconcept of","the apple pie.","income distribution.","income relativity.","socio-economic stratification.","wealth allocation.","income distribution."
1944,"The poverty line is measured by","the minimum wage extended on a yearly basis.","taking into account what a family would need to spend to maintain an   austere   standard of living.","the number of people filing for unemployment benefits.","the boundaries of an urban ghetto.","proportion of the median income as determined by IRS records.","taking into account what a family would need to spend to maintain an   austere   standard of living."
1945,"The United States Bureau of Census ¹ definition of the poverty line takes into account","the earning power of the head of the household and family size.","a daily intake of 2,000 calories and half the average hourly wage in the country.","what a family would need to spend for an austere standard of living and the size of the family.","the earning power of the head of the household and racial composition of the family.","all of the above","what a family would need to spend for an austere standard of living and the size of the family."
1946,"To count the poor, the United States Bureau of the Census has established the ________ whichtakes into account what a family would need to spend to maintain an   austere   standard ofliving.","culture of poverty","urban underclass","poverty line","relative deprivation index","Poverty Index","poverty line"
1946,"To count the poor, the United States Bureau of the Census has established the ________ whichtakes into account what a family would need to spend to maintain an   austere   standard ofliving.","culture of poverty","urban underclass","poverty line","relative deprivation index","Poverty Index","poverty line"
1948,"One study of American families found that ________ were below the poverty line at least onceduring their lifetimes.","nearly one-tenth","nearly one-third","nearly one-half","nearly two-thirds","nearly three-quarters","nearly one-half"
1949,"Compared to the general population, poverty is more common among all of the followingEXCEPT","African Americans and Hispanics.","the elderly.","children.","inner city residents.","Asian Americans.","the elderly."
1950,"Official poverty counts tend to underestimate poverty because","some families refuse to report their income level.","some families go in and out of poverty without being counted.","they do not include individuals ¹ wealth.","the Republicans want it that way.","the Democrats want it that way.","some families go in and out of poverty without being counted."
1951,"The poverty rate is highest among","African Americans.","people over 65.","Caucasians who live in Appalachia.","Hispanics.","residents of central cities.","African Americans."
1952,"A ________ tax takes a higher percentage from the incomes of the rich than the poor.","progressive","proportional","regressive","relative deprivation","flat","progressive"
1953,"The ________ of poverty refers to the increased concentration of poverty among women.","feminization","gender-enhancement","female-orientation","pink  ening","sexualization","feminization"
1954,"Poverty among the elderly declined over the past several decades primarily due to","Social Security payments.","the booming economy in the 1980s.","changing attitudes in society regarding the elderly.","the larger proportion of savings held by the elderly.","none of the above","Social Security payments."
1955,"A ________ tax requires the same share from everyone, rich and poor alike.","progressive","proportional","regressive","relative deprivation","flat","proportional"
1956,"A ________ tax takes a higher percentage from those with lower incomes, and less from thewealthy.","progressive","proportional","regressive","relative deprivation","flat","regressive"
1957,"The federal income tax is an example of a ________ tax.","progressive","proportional","regressive","relative deprivation","flat","progressive"
1958,"The best evidence indicates that the overall incidence of taxesî€„local, state, and federalî€„inAmerica is","progressive.","proportional.","regressive.","relative deprivation.","flat.","proportional."
1959,"The overall incidence of taxes in America is proportional, because","federal, state, and local taxes all tend to be proportional.","generally regressive federal taxes are counterbalanced by more progressive state and local taxes.","generally regressive state and local taxes are counterbalanced by progressive federal taxes.","relative deprivation serves as a counterbalance at each level.","federal taxes are proportional.","generally regressive state and local taxes are counterbalanced by progressive federal taxes."
1960,"Government's main tools for influencing the distribution of income and wealth are","equal opportunity and affirmative action programs.","income taxation and expenditure policies.","extending eligibility for welfare and Medicare benefits.","legislating and enforcing economic policies.","monetary policy and wage and price controls.","income taxation and expenditure policies."
1961,"If the government takes a bigger bite from the income of a rich family than from the income ofa poor family, then the tax system is","progressive.","proportional.","regressive.","redistributive.","retrogressive.","progressive."
1962,"If one person earns twice as much as another, but each pays 15 percent of their income intaxes, then the tax system is","progressive.","proportional.","regressive.","redistributive.","egalitarian.","proportional."
1963,"If a poor family pays 50 percent of its income in taxes and a rich one 5 percent, then the taxsystem is","progressive.","proportional.","regressive.","redistributive.","retrogressive.","regressive."
1963,"If a poor family pays 50 percent of its income in taxes and a rich one 5 percent, then the taxsystem is","progressive.","proportional.","regressive.","redistributive.","retrogressive.","regressive."
1965,"The tax that can be used to redistribute income from the rich to the poor is a","sales tax.","progressive tax.","regressive tax.","proportional tax.","relative deprivation tax.","progressive tax."
1966,"A tax that can make the rich richer and the poor poorer is a","flat tax.","progressive tax.","regressive tax.","proportional tax.","graduated tax.","regressive tax."
1967,"The best evidence indicates that the overall incidence of taxes in America is","proportional.","progressive.","regressive.","redistributive.","relative deprivation.","proportional."
1968,"The biggest chunk of transfer payments goes to","means-tested programs in general.","Temporary Aid to Needy Families (TANF) in particular.","unmarried black females with children.","the elderly and other recipients of social security.","foreign aid.","the elderly and other recipients of social security."
1969,"Food Stamps, low-interest student loans, and Temporary Aid to Needy Families are allexamples of","transfer payments.","regressive taxes.","entitlements.","relative deprivation.","proportional taxes.","transfer payments."
1970,"A transfer payment is one which","requires some form of work in exchange for government assistance.","provides money from the government's general treasury to those in specific need.","is paid in lieu of cash.","is not based on need.","provides tax credits from the government general treasury to those in need.","provides money from the government's general treasury to those in specific need."
1971,"Which of the following is NOT a means-tested program?","Medicaid","Medicare","Food Stamps","Aid to Families with Dependent Children","none of the above","Medicare"
1972,"Which of the following is an example of an entitlement?","Food Stamps","Aid to Families with Dependent Children","Social Security","low-interest college loans","Pell Grants","Social Security"
1973,"Transfer payments","consist of cash and in-kind benefits from the government.","are part of the proposed changes to make taxation more proportional.","have significantly redistributed income in America.","have the net effect of being regressive.","all of the above","consist of cash and in-kind benefits from the government."
1974,"Transfer payments have","significantly redistributed income in America.","raised many of the poor above the poverty line.","created greater income equality.","have had virtually no affect on poverty in America.","conspicuously bypassed the elderly, while helping many other groups.","raised many of the poor above the poverty line."
1975,"Social Security and Medicare","require an income and means test for eligibility.","are the largest and most expensive social welfare programs in America.","have had little effect on the health and income of older Americans.","are voluntary programs aimed specifically at the poor.","all of the above","are the largest and most expensive social welfare programs in America."
1976,"Which of the following programs receives the most funding?","Medicare","Medicaid","Food Stamps","Aid to Families with Dependent Children","Supplemental Security Income","Medicare"
1977,"Medicaid provides","hospital care for the retired and disabled people covered by Social Security.","medical insurance to those over 65 and disabled.","medical and hospital aid to the poor on the basis of need through federally assisted state health programs.","cash payments to aged, blind, or disabled people whose income is below a certain amount.","hospital care for people covered by Social Security.","medical and hospital aid to the poor on the basis of need through federally assisted state health programs."
1978,"According to Martin Gilens, whites ¹ attitudes toward welfare are strongly influenced by","whether they had ever personally experienced poverty.","their religious beliefs about caring for the poor.","their current wealth.","whether they viewed African Americans as lazy or not.","their educational background.","whether they viewed African Americans as lazy or not."
1979,"The feminization of poverty refers to","the high incidence of poverty among unmarried mothers and their children.","high poverty levels among the elderly, who tend to be female.","higher incarceration rates of women today compared to twenty years ago.","higher rates of homelessness among women.","the high incidence of poverty among married mothers and their children.","the high incidence of poverty among unmarried mothers and their children."
1980,"Means-tested public assistance programs","are funded at much higher levels than entitlement programs.","were eliminated by President Reagan.","were strengthened as a result of Lyndon Johnson's   War on Poverty.","include Medicare, Unemployment Insurance and Old Age, Survivors, and Disability Insurance.","were eliminated by President Bush.","were strengthened as a result of Lyndon Johnson's   War on Poverty."
1981,"The ________, passed by Congress in 1935, dramatically brought the government into theequation of one generation's obligations to another.","Aid to Families with Dependent Children Act","Medicaid bill","Social Security Act","National Direct Student Loan Act","Medicare Bill","Social Security Act"
1982,"Social Security was begun in the United States during","the Civil War.","World War I.","the New Deal.","the Great Society era.","Spanish American War.","the New Deal."
1983,"The Social Security Act of 1935","brought government into the equation of the obligations of one generation to another.","substantially freed adults from the obligation of caring for both their children and parents.","provided for free medical care for all citizens over the age of 65 until it was repealed by the Republican congress of 1953.","freed American citizens from the obligation of supporting the poor.","substantially freed children and adults from paying their parents ¹ medical expenses.","brought government into the equation of the obligations of one generation to another."
1984,"The   War on Poverty   was the set of social welfare policy initiatives begun by President","Lyndon Johnson.","Jimmy Carter.","Franklin D. Roosevelt.","Ronald Reagan.","Harry S. Truman.","Lyndon Johnson."
1985,"The   War on Poverty   programs were later attacked and had their funding reducedsubstantially by President","Dwight Eisenhower.","Lyndon Johnson.","Ronald Reagan.","Richard Nixon.","George Bush.","Ronald Reagan."
1986,"Which of the following presidents did not accept or expand many of the programs initiatedunder Johnson's   War on Poverty  ?","Richard Nixon","Gerald Ford","Jimmy Carter","Ronald Reagan","both Nixon and Reagan","Ronald Reagan"
1987,"President Ronald Reagan ________ the   War on Poverty   programs.","was the mastermind behind the passage of","continued to support","severely reduced many of","completely abolished","enhanced the scope of","severely reduced many of"
1988,"Charles Murray's evaluation of the Great Society programs concluded they","helped to curb the spread of poverty and made the situation much better for millions of the nation's poor.","helped to curb the spread of poverty, but did not make the situation any better for the nation's poor.","helped to curb the spread of poverty, but actually made the situation worse for the nation's poor.","did not curb the spread of poverty, and actually increased the number of the nation's poor.","did not curb the spread of poverty, but strengthened the family as a social institution.","did not curb the spread of poverty, and actually increased the number of the nation's poor."
1989,"Charles Murray's study of the programs of the Great Society concluded all of the followingEXCEPT","a key problem all along was inadequate funding to see the anti -poverty programs through.","public policies discouraged the poor from solving their own problems.","the programs actually made it profitable to be poor and victimized.","many of the programs not only failed to halt the spread of poverty, they actually made matters worse.","many of the programs actually increase poverty in the U.S.","a key problem all along was inadequate funding to see the anti -poverty programs through."
1989,"Charles Murray's study of the programs of the Great Society concluded all of the followingEXCEPT","a key problem all along was inadequate funding to see the anti -poverty programs through.","public policies discouraged the poor from solving their own problems.","the programs actually made it profitable to be poor and victimized.","many of the programs not only failed to halt the spread of poverty, they actually made matters worse.","many of the programs actually increase poverty in the U.S.","a key problem all along was inadequate funding to see the anti -poverty programs through."
1991,"According to Charles Murray, the problem with social welfare policies is that they","cost too much.","did not receive adequate funding.","discouraged the poor from solving their own problems.","did not address the basic problem of racism as a cause of poverty.","robbed hard-working Peter to pay lazy Paul.","discouraged the poor from solving their own problems."
1992,"Criticisms of the current welfare system include each of the following EXCEPT","they discourage the poor from solving their problems.","they make it profitable to be poor and victimized.","they do not include a means test to weed out welfare fraud.","they discourage poor people from saving money.","they discourage recipients from getting married or even living together.","they do not include a means test to weed out welfare fraud."
1993,"Martin Gilens research suggested that Americans ¹ opposition to welfare was based on","economic self-interest.","conservative political ideology.","negative attitudes toward blacks.","negative attitudes toward the poor.","negative attitudes toward government.","negative attitudes toward blacks."
1994,"Each of the following were provisions of the 1996 welfare reform bill EXCEPT","each state would receive a fixed amount of money to run its own welfare programs.","people on welfare would have to find work within two years or lose all their benefits.","basic health care benefits would be provided to those who found jobs.","a lifetime maximum of five years on welfare was set.","All of the above were provisional the 1996 welfare reform bill.","basic health care benefits would be provided to those who found jobs."
1995,"Nationally, over the past six decades, there has been a particularly strong redistribution ofgovernment benefits in favor of the","very wealthy.","corporations.","nation's children.","elderly.","middle class.","elderly."
1996,"Compared to other industrialized countries, the United States ________ in providing a safetynet for all its citizens and in lifting a greater percentage of the poor above the poverty line withvarious programs.","does much better","does somewhat better","does about the same","does worse","does something similar","does worse"
1997,"The United States differs from other industrial countries in regard to social welfare in all of thefollowing ways EXCEPT","the United States does not have a comprehensive family leave policy.","Americans tend to see poverty and social welfare needs as individual rather than government concerns.","Europeans tend to see government in a more positive light, while Americans tend to distrust government action.","only the Scandinavian countries spend a smaller proportion of their gross national products on social welfare policies than does the United States.","the universal provision of daycare to toddlers, paid for by the government.","only the Scandinavian countries spend a smaller proportion of their gross national products on social welfare policies than does the United States."
1998,"Compared to most Western democracies, the United States provides","relatively few social welfare benefits.","selective rather than universal social welfare payments.","an average amount of social welfare benefits.","more cash transfers, but fewer in-kind transfers.","overly generous social welfare benefits.","relatively few social welfare benefits."
1998,"Compared to most Western democracies, the United States provides","relatively few social welfare benefits.","selective rather than universal social welfare payments.","an average amount of social welfare benefits.","more cash transfers, but fewer in-kind transfers.","overly generous social welfare benefits.","relatively few social welfare benefits."
1998,"Compared to most Western democracies, the United States provides","relatively few social welfare benefits.","selective rather than universal social welfare payments.","an average amount of social welfare benefits.","more cash transfers, but fewer in-kind transfers.","overly generous social welfare benefits.","relatively few social welfare benefits."
1998,"Compared to most Western democracies, the United States provides","relatively few social welfare benefits.","selective rather than universal social welfare payments.","an average amount of social welfare benefits.","more cash transfers, but fewer in-kind transfers.","overly generous social welfare benefits.","relatively few social welfare benefits."
2002,"Overall, about ________ of the Gross Domestic Product goes to the health industry.","20 percent","15 percent","25 percent","40 percent","8 percent","15 percent"
2003,"Compared to Western European nations, the United States has a ________ infant mortalityrate.","higher","nearly identical","slightly lower","significantly lower","faster growing","higher"
2004,"Which of the following countries has the highest infant mortality rate?","United States","France","Japan","Italy","Canada","United States"
2005,"Health care in the United States","has decreased in cost due to the technological revolution.","constitutes nearly 15 percent of America's gross domestic product.","has made the United States the healthiest country in the world.","has failed to keep up with the technological revolution.","All of the above","constitutes nearly 15 percent of America's gross domestic product."
2006,"Which of the following countries has the lowest life expectancy?","Italy","Japan","United States","Canada","France","United States"
2007,"Which of the following is a reason that American health care expenses are so high?","Americans visit the doctor more often.","Americans have longer hospital stays.","Doctors practice   offensive medicine   to avoid medical liability.","High-tech care is available for previously untreatable conditions.","All of the above.","High-tech care is available for previously untreatable conditions."
2008,"Americans have ________ health care.","high-tech, expensive, and unequal","low-tech, inexpensive, and unequal","high-tech, expensive, and equal","low-tech, expensive, and unequal","high tech, inexpensive and equal","high-tech, expensive, and unequal"
2009,"The infant mortality rate in the United States","is the lowest in the world.","is second lowest in the world after Japan.","ranks 18th among the world's nations.","is only worse than Finland, Japan, and Iceland.","is half of what it is in Japan.","ranks 18th among the world's nations."
2010,"Which of the following contributes to higher costs of medical care in the United States?","The best doctors tend to practice abroad where insurance premiums are lower.","Americans are the healthiest people in the world.","Insured patients have little incentive to ask for cheaper care.","Malpractice insurance costs for doctors are covered by the federal government.","None of the above","Insured patients have little incentive to ask for cheaper care."
2011,"Doctors have no reason to compete with each other to offer cheaper health care expensesbecause","insurance companies and government pay for most health care expenses.","government mandates that everyone receives equal access to health care.","technology has made medical care more efficient and less costly.","specialization has made competition unnecessary.","All of the above","insurance companies and government pay for most health care expenses."
2012,"Access to health insurance in the United States is strongly related to","race and geographic location.","gender and income.","race and income.","gender and geographic location.","race and gender.","race and income."
2013,"________ is part of the Social Security system and covers 40 million American seniors withhospitalization insurance and other optional health insurance.","Medicaid","Medicare","The National Institutes of Health","The Superfund","The United States Health Service","Medicare"
2014,"In the United States, the largest single source of health care dollars comes from","private insurance companies.","private charities.","government.","citizens themselves in out-of-pocket medical payments.","the private sector.","government."
2015,"The United States government finances much of the medical research done in the countrythrough","Medicaid.","the National Endowment for Medical Research.","the National Institutes of Health.","the National Science Foundation.","the Department of Health and Human Services.","the National Institutes of Health."
2016,"The National Institutes of Health","administers the national health insurance system in the United States.","provides funds for medical research in the United States.","is the largest hospital and physicians ¹ interest group in the United States.","administers the Medicare and Medicaid programs.","is the federal agency that regulates private health insurance companies.","provides funds for medical research in the United States."
2017,"Americans pay about ________ of their health care costs out of their own pockets.","4 percent","20 percent","40 percent","33 percent","54 percent","20 percent"
2018,"Medicare was adopted in 1965 to provide government health insurance to","veterans.","government employees.","the poor.","the elderly.","children living in poverty.","the elderly."
2019,"The first president to call for national health insurance was","Franklin Roosevelt.","Harry Truman.","Lyndon Johnson.","Jimmy Carter.","Bill Clinton.","Harry Truman."
2020,"The federal program that permits older Americans to purchase inexpensive coverage fordoctor fees and other non-hospital expenses is","Medicare Part A.","Medicare Part B.","Medicaid.","social insurance program.","the American Association of Retired Persons.","Medicare Part B."
2021,"Medicaid is a program designed to provide health care for","the very poor.","the elderly.","everyone who lives below the poverty line.","veterans.","Social Security recipients.","the very poor."
2022,"Which of the following is NOT true about Medicaid?","It is funded by both the states and national government.","It is a means-tested program.","It provides health care for all poor Americans.","The costs of Medicaid are increasing rapidly.","States have cut Medicaid coverage in recent years.","It provides health care for all poor Americans."
2023,"What is the largest voluntary association in the world?","American Association of Retired Persons","Sierra Club","International Association of Workers and Peasants","National Patients ¹ Union","Chinese Revolutionary Workers ¹ Party","American Association of Retired Persons"
