ID, question, Option 1, Option 2, Option 3, Option 4, Answer
1426,"Keynes believed that economies experiencing high unemployment should adopt policies to","increase aggregate demand.","increase aggregate supply.","reduce the money supply.","reduce government expenditures.","increase aggregate demand."
1427,"According to the crowding-out effect, an increase in government purchases causes interest rates to","fall, which increases saving.","fall, which decreases investment.","rise, which increases saving.","rise, which decreases investment.","rise, which decreases investment."
1428,"Recession refers principally to","below average real GDP growth.","negative real GDP growth.","below average inflation.","negative inflation.","negative real GDP growth."
1429,"Which of the following is correct?","On average over the past 50 years real GDP has grown about 3% per year.","Recessions occur at regular intervals.","Both of the above are correct.","None of the above is correct.","On average over the past 50 years real GDP has grown about 3% per year."
1430,"During recessions investment","and unemployment rise.","and unemployment decline.","rises and unemployment declines.","declines and unemployment rises.","declines and unemployment rises."
1431,"Which of the following accounts for most of the decline in value of GDP during recessions?","consumption","investment","government expenditures","net exports","investment"
1432,"Long-run analysis of the macroeconomy is based on","both the classical dichotomy and monetary neutrality.","neither the classical dichotomy nor monetary neutrality.","the classical dichotomy, but not monetary neutrality.","monetary neutrality but not the classical dichotomy.","both the classical dichotomy and monetary neutrality."
1433,"In the aggregate demand and aggregate supply model the price level is on the","horizontal axis and quantity of output is on the vertical axis.","vertical axis and quantity of output is on the horizontal axis.","horizontal axis and unemployment is on the vertical axis.","vertical axis and unemployment is on horizontal axis.","vertical axis and quantity of output is on the horizontal axis."
1434,"A fall in prices makes consumers feel more wealthy. As a result","aggregate demand shifts to the left.","aggregate demand shifts to the right.","there is a movement up a given aggregate demand curve.","there is a movement down a given aggregate demand curve.","there is a movement down a given aggregate demand curve."
1435,"When prices fall, dollars are worth","less, so consumers demand a larger quantity of goods.","less, so consumers demand a smaller quantity of goods.","more, so consumers demand a larger quantity of goods.","more, so consumers demand a smaller quantity of goods.","more, so consumers demand a larger quantity of goods."
1436,"When the price level rises, other things the same, people want to","increase money holdings, so the interest rate increases.","increase money holdings, so the interest rate decreases.","reduce money holdings, so the interest rate increases.","reduce money holdings, so the interest rate decreases.","increase money holdings, so the interest rate increases."
1437,"Other things the same, which of the following happens when the price level falls?","Households try to increase money holdings.","The real exchange rate appreciates.","U.S. net exports increase.","All of the above are correct.","U.S. net exports increase."
1438,"Which of the following tends to increase the quantity of output demanded when the price level decreases?","the wealth effect","the interest rate effect","the exchange rate effect","All of the above are correct.","All of the above are correct."
1439,"If people decide to save more for retirement","or the government raises taxes, aggregate demand will shift right.","or the government raises taxes, aggregate demand will shift left.","aggregate demand will shift right. If the government raises taxes, aggregate demand will shift left.","aggregate demand will shift left. If the government raises taxes, aggregate demand will shift right.","or the government raises taxes, aggregate demand will shift left."
1440,"Which of the following do we expect in the short run if the money supply increases?","The interest rate rises.","Investment falls.","The price level rises.","All of the above are correct.","The price level rises."
1441,"Suppose there is a broad increase in the price of stocks which causes an increase in the real wealth of individuals. Consumption spending rises in response to the increase in wealth. This will cause the","aggregate demand curve to shift to the left.","rate of unemployment to decrease.","general price level to fall.","aggregate supply curve to shift to the right.","rate of unemployment to decrease."
1442,"Which of the following shifts the long-run aggregate supply curve to the left?","an increase in the economy’s capital stock","an increase in the availability of natural resources from abroad","stricter environmental regulations","None of the above is correct.","stricter environmental regulations"
1443,"By itself technological progress tends to","raise real GDP and lower the price level.","raise both real GDP and the price level.","decrease both real GDP and the price level.","decrease real GDP and raise the price level.","raise real GDP and lower the price level."
1444,"According to the aggregate demand and aggregate supply model, in the long run an increase in the money supply","increases the price level and real GDP.","increases the price level, but does not change real GDP.","increases real GDP, but does not change the price level.","decreases real GDP, but does not change the price level.","increases the price level, but does not change real GDP."
1445,"If the price level is less than expected, producers believe their relative price has","increased and so increase production.","increased and so decrease production.","decreased and so increase production.","decreased and so decrease production.","decreased and so decrease production."
1446,"If wages do not adjust immediately to the price level, a higher price level","reduces real wages and employment.","increases real wages and employment.","reduces real wages and increases employment.","increases real wages and reduces employment.","reduces real wages and increases employment."
1447,"An increase in the expected price level shifts aggregate","demand to the right.","demand to the left.","supply to the right.","supply to the left.","supply to the left."
1448,"A change in price expectations will shift","short-run aggregate supply, but not long-run aggregate supply.","long-run aggregate supply, but not short-run aggregate supply.","both long-run aggregate supply and short-run aggregate supply.","long-run aggregate supply and aggregate demand.","short-run aggregate supply, but not long-run aggregate supply."
1449,"Suppose consumers become more pessimistic concerning the future of an economy. In the short run","both the price level and real GDP rise.","both the price level and real GDP fall.","the price level rises and real GDP falls.","the price level falls and real GDP rises.","both the price level and real GDP fall."
1450,"During the 1930s","and the 1940s U.S. aggregate demand appears to have shifted far to the left.","and the 1940s U.S. aggregate demand appears to have shifted far to the right.","U.S. aggregate demand appears to have shifted far to the right. During the 1940s aggregate demand appears to have shifted far to the left.","U.S. aggregate demand appears to have shifted far to the left. During the 1940s aggregate demand appears to have shifted far to the right.","U.S. aggregate demand appears to have shifted far to the left. During the 1940s aggregate demand appears to have shifted far to the right."
1451,"Which of the following is associated primarily with aggregate supply shifting far to the left?","the Great Depression","the economic boom of the 1940s","stagflation of the 1970s","None of the above is correct.","stagflation of the 1970s"
1452,"If the economy is experiencing stagflation and the Fed increases the money supply in the short run output","increases, in the long run the price level increases.","increases, in the long run the price level decreases.","decreases, in the long run the price level increases.","decreases, in the long run the price level decreases.","increases, in the long run the price level increases."
1453,"Shocks to the economy such as changes in the value of the stock market","affect aggregate demand, but changes in taxes and government expenditures do not.","and changes in taxes and government expenditures affect aggregate demand.","do not affect aggregate demand, but changes in taxes and government expenditures do.","and changes in taxes and government expenditures do not affect aggregate demand.","and changes in taxes and government expenditures affect aggregate demand."
1454,"Which of the following claims concerning the importance of effects that explain the slope of the aggregate demand curve is correct?","The interest-rate effect is relatively large because investment spending is very responsive to interest rate changes.","The wealth effect is relatively large because money holdings are a significant portion of most households’ wealth.","The exchange rate effect is relatively large because exports and imports comprise a large part of real GDP.","None of the above is correct.","The interest-rate effect is relatively large because investment spending is very responsive to interest rate changes."
1455,"When the interest rate decreases, the opportunity cost of holding money","increases, so the quantity of money demanded increases.","increases, so the quantity of money demanded decreases.","decreases, so the quantity of money demanded increases.","decreases, so the quantity of money demanded decreases.","decreases, so the quantity of money demanded increases."
1456,"According to liquidity preference theory, if there is an excess supply of money, people will deposit","less into interest-bearing accounts, so the interest rate rises.","less into interest-bearing accounts, so the interest rate falls.","more into interest-bearing accounts, so the interest rate rises.","more into interest-bearing accounts, so the interest rate falls.","more into interest-bearing accounts, so the interest rate falls."
1457,"Which list contains only things that would make people want to hold more money?","Interest rates decrease, the price level increases.","Interest rates decrease, the price level decreases.","Interest rates increase, the price level increases.","Interest rates increase, the price level decreases.","Interest rates decrease, the price level increases."
1458,"Assume the money market is initially in equilibrium. If the price level increases, according to liquidity preference theory there is an excess","supply of money until the interest rate decreases.","supply of money until the interest rate increases.","demand for money until the interest rate decreases.","demand for money until the interest rate increases.","demand for money until the interest rate increases."
1459,"According to liquidity preference theory, which of the following shifts the money demand curve to the left?","a decrease in the price level","an increase in the price level","an increase in the interest rate","Both b and c are correct.","a decrease in the price level"
1460,"According to liquidity preference theory, an increase in the price level causes the interest rate to","increase, which makes investment demanded increase.","increase, which makes investment demanded decrease.","decrease, which makes investment demanded increase.","decrease, which makes investment demanded decrease.","increase, which makes investment demanded decrease."
1461,"In the short run, a decrease in the money supply causes interest rates to","decrease, and aggregate demand to shift right.","decrease, and aggregate demand to shift left.","increase, and aggregate demand to shift right.","increase, and aggregate demand to shift left.","increase, and aggregate demand to shift left."
1462,"If the interest rate is above the Fed’s target, the Fed should","sell bonds to increase the money supply.","sell bonds to decrease the money supply.","buy bonds to increase the money supply.","buy bonds to decrease the money supply.","buy bonds to increase the money supply."
1463,"If the stock market crashes, aggregate demand","increases, which the Fed could offset by selling bonds.","increases, which the Fed could offset by buying bonds.","decreases, which the Fed could offset by selling bonds.","decreases, which the Fed could offset by buying bonds.","decreases, which the Fed could offset by buying bonds."
1464,"An increase in government spending initially and primarily shifts aggregate","supply right.","demand right.","demand left.","supply left.","demand right."
1465,"The multiplier effect is the multiplied impact on","investment of a given increase in interest rates.","the money supply of a given increase in government purchases.","aggregate demand of a given increase in government purchases.","tax revenues of a given increase in government purchases.","aggregate demand of a given increase in government purchases."
1466,"Which of the following illustrates how the investment accelerator works?","An increase in government expenditures increases aggregate spending so that the Gas-and-Go convenience store chain finds it profitable to build more new stores.","An increase in government expenditures increases the interest rate so that people buy fewer stocks and bonds.","An increase in government expenditures decreases the interest rate so that the Gas-and-Go convenience store chain decides to build more new stores.","An increase in government expenditures increases the interest rate so that the Gas-and-Go convenience store chain decides to build fewer new stores.","An increase in government expenditures increases aggregate spending so that the Gas-and-Go convenience store chain finds it profitable to build more new stores."
1467,"The government purchases multiplier is defined as","MPC.","1 – MPC.","1/(1 – MPC).","1/MPC.","1/(1 – MPC)."
1468,"According to the crowding-out effect, an increase in government purchases causes interest rates to","fall, which increases saving.","fall, which decreases investment.","rise, which increases saving.","rise, which decreases investment.","rise, which decreases investment."
1469,"If taxes","increase, consumption decreases, and aggregate demand shifts left.","increase, consumption increases, and aggregate demand shifts right.","decrease, consumption increases, and aggregate demand shifts left.","decrease, consumption decreases, and aggregate demand shifts right.","increase, consumption decreases, and aggregate demand shifts left."
1470,"An increase in government spending on goods to build or repair bridges and highways","shifts the aggregate demand curve to the left.","has no multiplier effect.","shifts the aggregate supply curve to the right in the long run.","All of the above are correct.","shifts the aggregate supply curve to the right in the long run."
1471,"If Congress cuts spending to balance the federal budget, the Fed can act to prevent unemployment and recession while maintaining the balanced budget by","raising taxes.","cutting expenditures.","increasing the money supply.","decreasing the money supply.","increasing the money supply."
1472,"Which of the following actions is inconsistent with the Employment Act of 1946?","When there is a recession, the government increases the money supply.","When unemployment is high, the government decreases expenditures.","When there is a recession, the government cuts taxes.","All of the above are correct.","When unemployment is high, the government decreases expenditures."
1473,"Keynes argued that aggregate demand is","stable, because the economy returns to long-run equilibrium.","stable, because changes in consumption are mostly offset by changes in investment.","unstable, because seasonal variations create fluctuations in aggregate demand.","unstable, because waves of pessimism and optimism create fluctuations in aggregate demand.","unstable, because waves of pessimism and optimism create fluctuations in aggregate demand."
1474,"If the government wants to stabilize output, which of the following policy alternatives would be an appropriate response to an increase in investment demand?","increase taxes","increase the money supply","increase government expenditures","All of the above are correct.","increase taxes"
1475,"Investment tax credits are designed to","increase aggregate demand in the short run and eventually increase long-run aggregate supply.","increase aggregate demand in the short run, but eventually decrease long-run aggregate supply.","increase aggregate demand in the short run and have no impact on aggregate supply.","None of the above is correct.","increase aggregate demand in the short run and eventually increase long-run aggregate supply."
1476,"During expansions, automatic stabilizers make the government’s budget move","toward deficit.","toward surplus.","toward balance.","in no particular direction.","toward surplus."
1477,"When the Fed lowers the growth rate of the money supply, it must take into account","only the short-run effect on production.","only the short-run effects on inflation and production.","the long-run effect on inflation as well as the short-run effect on production.","only the long-run effect on inflation.","the long-run effect on inflation as well as the short-run effect on production."
1478,"Of the effects that help explain why the U.S. aggregate demand curve slopes downward the","wealth effect is most important and the exchange rate effect is least important.","exchange-rate effect is most important and the interest rate effect is least important.","interest-rate effect is most important and the wealth effect is least important.","None of the above is correct.","interest-rate effect is most important and the wealth effect is least important."
1479,"Liquidity preference theory is most relevant to the","short run and supposes that the interest rate adjusts to bring money supply and money demand into balance.","short run and supposes that the price level adjusts to bring money supply and money demand into balance.","long run and supposes that the interest rate adjusts to bring money supply and money demand into balance.","long run and supposes that the price level adjusts to bring money supply and money demand into balance.","short run and supposes that the interest rate adjusts to bring money supply and money demand into balance."
1480,"An increase in interest rates","increases the cost of holding money and increases the quantity demanded.","increases the cost of holding money and decreases the quantity demanded.","decreases the cost of holding money and increases the quantity demanded.","decreases the cost of holding money and decreases the quantity demanded.","increases the cost of holding money and decreases the quantity demanded."
1481,"According to the theory of liquidity preference if there is a surplus of money, the interest rate will","rise and the quantity of money demanded will increase.","rise and the quantity of money demanded will decrease.","fall and the quantity of money demanded will increase.","fall and the quantity of money demanded will decrease.","fall and the quantity of money demanded will increase."
1482,"With the interest rate on the vertical axis, an increase in the price level shifts money","supply right.","supply left.","demand right.","demand left.","demand right."
1482,"With the interest rate on the vertical axis, an increase in the price level shifts money","supply right.","supply left.","demand right.","demand left.","demand right."
1484,"Which of the following properly describes the interest-rate effect?","A higher price level leads to higher money demand, higher money demand leads to higher interest rates, and a higher interest rate increases the quantity of goods and services demanded.","A higher price level leads to higher money demand, higher money demand leads to lower interest rates, and a lower interest rate reduces the quantity of goods and services demanded.","A lower price level leads to lower money demand, lower money demand leads to lower interest rates, and a lower interest rate reduces the quantity of goods and services demanded.","A lower price level leads to lower money demand, lower money demand leads to lower interest rates, and a lower interest rate increases the quantity of goods and services demanded.","A lower price level leads to lower money demand, lower money demand leads to lower interest rates, and a lower interest rate increases the quantity of goods and services demanded."
1485,"When the money supply increases interest rates","rise and aggregate demand shifts right.","fall and aggregate demand shifts left.","rise and aggregate demand shifts left.","None of the above is correct.","None of the above is correct."
1486,"Which of the following shifts aggregate demand right?","The price level rises.","The price level falls.","The money supply rises.","Both a and b are correct.","The money supply rises."
1487,"Suppose the Federal Reserve decreases the money supply. As a result:","investment, real output, and the price level are all lower.","investment is higher, real output is lower, and the price level is unchanged.","investment, real output, and the price level are all higher.","investment is lower, real output is higher, and the price level is lower.","investment, real output, and the price level are all lower."
1488,"If the stock market booms household spending","increases. To offset the effects of this on the price level and real GDP, the Fed would increase the money supply.","increases. To offset the effects of this on the price level and real GDP, the Fed would decrease the money supply.","decreases. To offset the effects of this on the price level and real GDP, the Fed would increase the money supply.","decreases. To offset the effects of this on the price level and real GDP, the Fed would decrease the money supply.","increases. To offset the effects of this on the price level and real GDP, the Fed would decrease the money supply."
1489,"In early January 2000 the Fed announced that it would cut interest rates one-half percentage point. To do this requires the Fed to","increase the money supply and so increase aggregate demand.","increase the money supply and so decrease aggregate demand.","decrease the money supply and so increase aggregate demand.","decrease the money supply and so decrease aggregate demand.","increase the money supply and so increase aggregate demand."
1490,"In the last quarter of 1999 German real GDP grew at a very low rate. Some economists attributed the low growth to monetary policy that by itself would have decreased real GDP. If they are correct, we should observe that the German money supply","and interest rates had increased.","and interest rates had decreased.","had increased and interest rates had decreased.","had decreased and interest rates had increased.","had decreased and interest rates had increased."
1491,"When the Fed decreases the money supply we expect interest rates","and stock prices to rise.","and stock prices to fall.","to rise and stock prices to fall.","to fall and stock prices to rise.","to rise and stock prices to fall."
1492,"If the government increases its expenditures the price level","and real GDP both rise.","and real GDP both fall.","rises and real GDP falls.","falls and real GDP rises.","and real GDP both rise."
1493,"Suppose that the MPC is .60 and there is no investment accelerator or crowding out. Then if government expenditures increase $10 billion, aggregate demand shifts right","$40 billion.","$25 billion.","$16 billion.","None of the above is correct.","$25 billion."
1494,"The multiplier effect occurs because an increase in government purchases will","increase income which will result in further rounds of spending.","increase interest rates which will reduce further rounds of spending.","increase the government deficit which will decrease further rounds of spending.","stimulate monetary policy which will increase further rounds of spending.","increase income which will result in further rounds of spending."
1495,"Which of the following correctly explains the crowding-out effect?","An increase in government expenditures decreases the interest rate and so increases investment spending.","An increase in government expenditures increases the interest rate and so reduces investment spending.","A decrease in government expenditures increases the interest rate and so increases investment spending.","A decrease in government expenditures decreases the interest rate and so reduces investment spending.","An increase in government expenditures increases the interest rate and so reduces investment spending."
1495,"Which of the following correctly explains the crowding-out effect?","An increase in government expenditures decreases the interest rate and so increases investment spending.","An increase in government expenditures increases the interest rate and so reduces investment spending.","A decrease in government expenditures increases the interest rate and so increases investment spending.","A decrease in government expenditures decreases the interest rate and so reduces investment spending.","An increase in government expenditures increases the interest rate and so reduces investment spending."
1497,"When the government increases expenditures the money demand curve shifts","right and interest rates rise.","right and interest rates fall.","left and interest rates rise.","left and interest rates fall.","right and interest rates rise."
1498,"Permanent tax cuts shift the AD curve","farther to the right than temporary tax cuts.","less to the right than temporary tax cuts.","farther to the left than temporary tax cuts.","less to the left than temporary tax cuts.","farther to the right than temporary tax cuts."
1499,"Suppose that net exports fall. Which of the following policies is most likely to stabilize the economy?","a decrease in the money supply","a tax increase","an increase in government expenditures","None of the above would be likely to stabilize the economy.","an increase in government expenditures"
1500,"If the government wanted to stabilize the economy when it was in recession it would","raise interest rates and government expenditures.","decrease interest rates and government expenditures.","raise interest rates and decrease government expenditures.","decrease interest rates and increase government expenditures.","decrease interest rates and increase government expenditures."
1501,"Critics of using fiscal and monetary policies to solve economic problems believe that","it can take too long for monetary policy to have an impact on the economy.","the political process results in a lag when using fiscal policy.","economic forecasting is imprecise.","All of the above are correct.","All of the above are correct."
1502,"The most important automatic stabilizer is","open market transactions.","the tax system.","unemployment compensation.","welfare benefits.","the tax system."
1503,"The misery index is calculated as the","actual inflation rate minus the expected inflation rate.","natural unemployment rate plus the long-run inflation rate.","unemployment rate minus the inflation rate.","inflation rate plus the unemployment rate.","inflation rate plus the unemployment rate."
1504,"The short-run relationship between inflation and unemployment is often called","Samuelson’s dilemma.","Harrod’s knife edge.","the Phillips curve.","Barro’s conundrum.","the Phillips curve."
1505,"Phillips found a negative relation between","output and unemployment.","output and employment.","wage inflation and output.","wage inflation and unemployment.","wage inflation and unemployment."
1506,"Samuelson and Solow reasoned that when aggregate demand was high, unemployment was","low, so there was upward pressure on wages and prices.","low, so there was downward pressure on wages and prices.","high, so there was upward pressure on wages and prices.","high, so there was downward pressure on wages and prices.","low, so there was upward pressure on wages and prices."
1506,"Samuelson and Solow reasoned that when aggregate demand was high, unemployment was","low, so there was upward pressure on wages and prices.","low, so there was downward pressure on wages and prices.","high, so there was upward pressure on wages and prices.","high, so there was downward pressure on wages and prices.","low, so there was upward pressure on wages and prices."
1506,"Samuelson and Solow reasoned that when aggregate demand was high, unemployment was","low, so there was upward pressure on wages and prices.","low, so there was downward pressure on wages and prices.","high, so there was upward pressure on wages and prices.","high, so there was downward pressure on wages and prices.","low, so there was upward pressure on wages and prices."
1509,"According to Friedman and Phelps, no matter what the Fed does to the money supply, in the long run, the","economy will have a zero inflation rate.","inflation rate will tend to its natural rate.","economy will have a zero unemployment rate.","unemployment rate will tend toward its natural rate.","unemployment rate will tend toward its natural rate."
1510,"Which of the following would shift the long-run Phillips curve right?","increases in unemployment compensation","an increase in the money supply","an increase in the expected inflation rate","None of the above is correct.","increases in unemployment compensation"
1511,"If the long-run Phillips curve shifts to the right, for any given rate of money growth and inflation the economy will have","higher unemployment and higher output.","higher unemployment and lower output.","lower unemployment and higher output.","lower unemployment and lower output.","higher unemployment and lower output."
1512,"An increase in expected inflation shifts the","long-run Phillips curve right.","long-run Phillips curve left.","short-run Phillips curve right.","short-run Phillips curve left.","short-run Phillips curve right."
1513,"The long-run and short-run Phillips curves intersect where","the quantity of goods and services demanded equals the quantity supplied.","the quantity of labor demanded equals the quantity supplied.","expected inflation is greater than actual inflation.","expected inflation equals actual inflation.","expected inflation equals actual inflation."
1514,"According to Friedman and Phelps, the unemployment rate is above the natural rate when actual inflation","is greater than expected inflation.","equals expected inflation.","is less than expected inflation.","is high.","is less than expected inflation."
1515,"Faced with an adverse supply shock, policymakers can increase aggregate","supply, which increases prices and output.","supply, which decreases prices and increases output.","demand, which increases prices and output.","demand, which decreases prices and increases output.","demand, which increases prices and output."
1516,"A favorable supply shock will cause the short-run Phillips curve to shift","left, and unemployment to rise.","left, and unemployment to fall.","right, and unemployment to rise.","right, and unemployment to fall.","left, and unemployment to fall."
1517,"An adverse supply shock will cause the short-run Phillips curve to shift","right, and inflation to fall.","right, and inflation to rise.","left, and inflation to fall.","left, and inflation to rise.","right, and inflation to rise."
1518,"In the 1970s, the Fed accommodated","an adverse supply shock and so contributed to higher inflation.","an adverse supply shock and so contributed to lower inflation.","a favorable supply shock and so contributed to higher inflation.","a favorable supply shock and so contributed to lower inflation.","an adverse supply shock and so contributed to higher inflation."
1519,"In 1979, Fed Chair Paul Volcker decided to pursue a policy","that would lead to disinflation.","that would create falling prices.","to accommodate continuing adverse supply shocks.","None of the above is correct.","that would lead to disinflation."
1520,"If the sacrifice ratio is 3, reducing the inflation rate from 5 percent to 2 percent would require sacrificing","6 percent of annual output.","9 percent of annual output.","10 percent of annual output.","15 percent of annual output.","9 percent of annual output."
1521,"In 1979, Fed Chair Paul Volcker","believed decreasing inflation would temporarily decrease output growth.","instituted an accommodating monetary policy.","believed that inflation had not yet reached unacceptable levels.","All of the above are correct.","believed decreasing inflation would temporarily decrease output growth."
1522,"In the late 1970s proponents of rational expectations argued that","the short run might be long because people wouldn’t go to the trouble of computing inflation expectations.","if people expected a decrease in the money supply growth rate and inflation, the decrease in the money growth would have little or no affect on output.","Friedman and Phelps were wrong about the long run, because inflation expectations would never adjust to return the economy to the natural rate of unemployment.","Friedman and Phelps were wrong because there was no short run since people always anticipated inflation correctly.","if people expected a decrease in the money supply growth rate and inflation, the decrease in the money growth would have little or no affect on output."
1523,"The restrictive monetary policy followed by the Fed in the early 1980s","reduced both unemployment and inflation.","reduced inflation significantly, but at the cost of a severe recession.","reduced unemployment significantly, but at the cost of higher inflation.","raised both unemployment and inflation.","reduced inflation significantly, but at the cost of a severe recession."
1524,"The experience of the Volcker disinflation of the early 1980s","generally increased estimates of the sacrifice ratio.","generally decreased estimates of the sacrifice ratio.","clearly refuted the predictions of the proponents of rational expectations.","clearly refuted the predictions of the opponents of rational expectations.","generally decreased estimates of the sacrifice ratio."
1525,"Since 1984, the economy has experienced","no unemployment rate above the natural rate.","a severe recession during 1991 and 1992.","uninterrupted economic growth.","relatively mild fluctuations in inflation and unemployment.","relatively mild fluctuations in inflation and unemployment."
1526,"In 1999, the Phillips curve was fairly far to the","right, partly because of lower inflation expectations.","right, partly because of adverse supply shocks.","left; partly because of lower inflation expectations.","left; partly because of adverse supply shocks.","left; partly because of lower inflation expectations."
1527,"In the late 1990s,","aggregate supply apparently shifted left.","the Phillips curve apparently shifted right.","Both a and b are correct.","Neither a nor b is correct.","Neither a nor b is correct."
1528,"In order to reduce inflation an economy will typically endure a period of","high unemployment and low output.","high unemployment and high output.","low unemployment and low output.","low unemployment and high output.","high unemployment and low output."
1529,"The Phillips curve shows the relationship between the","price level and real GDP.","price level and unemployment.","inflation rate and the price level.","inflation rate and unemployment.","inflation rate and unemployment."
1530,"If the government decided that it wanted lower inflation it would","increase aggregate demand which would increase unemployment.","increase aggregate demand which would decrease unemployment.","decrease aggregate demand which would increase unemployment.","decrease aggregate demand which would decrease unemployment.","decrease aggregate demand which would increase unemployment."
1531,"Which of the following lists contains only policies that would increase inflation and decrease unemployment?","increase government expenditures, increase the money supply","increase government expenditures, decrease the money supply","decrease government expenditures, increase the money supply","decrease government expenditures, decrease the money supply","increase government expenditures, increase the money supply"
1532,"Friedman and Phelps argued that an inverse relation between inflation and unemployment could exist","in both the long run and the short run.","in neither the short run nor the long run.","only in the short run.","only in the long run.","only in the short run."
1533,"According to the long-run Phillips curve, if the Fed increases the growth rate of the money supply,","inflation and unemployment both rise.","inflation rises and unemployment falls.","only employment rises.","only inflation rises.","only inflation rises."
1534,"Which of the following policies would shift the long-run Phillips curve to the right?","Increased use of on-line vitas and job openings decrease the time people spend searching for jobs.","The government increases the minimum wage.","The government increases the money supply.","None of the above is correct.","The government increases the minimum wage."
1535,"Which of the following explanations for an upward sloping aggregate supply curve would imply an upward-sloping short-run Phillips curve?","misperceptions of relative prices","sticky wages and prices","Both a and b are correct.","None of the above is correct.","Both a and b are correct."
1536,"As compared to their initial values, which of the following variables are higher in both the short and long run if the government pursues an expansionary policy?","both unemployment and inflation","only inflation","only unemployment","neither unemployment nor inflation","only inflation"
1537,"Expansionary policy","increases unemployment and inflation in the short run, but only increases inflation in the long run.","increases unemployment and reduces inflation in the short run, but increases unemployment in the long run.","reduces unemployment in the short run, but increases inflation in the short run and long run.","reduces unemployment and inflation in the short run, but increases unemployment in the long run.","reduces unemployment in the short run, but increases inflation in the short run and long run."
1538,"If expected inflation decreases the short-run Phillips curve shifts","right, so at any actual inflation rate, unemployment will be higher than before.","right, so at any actual inflation rate, unemployment will be lower than before.","left, so at any actual inflation rate, unemployment will be higher than before.","left, so at any actual inflation rate, unemployment will be lower than before.","left, so at any actual inflation rate, unemployment will be lower than before."
1539,"In 1973, both unemployment and inflation were higher than they had been in 1969. This can be explained by monetary policy that increased","inflation expectations and so shifted the short-run Phillips curve to the right.","inflation expectations and so shifted the short-run Phillips curve to the left.","actual inflation and so shifted the long-run Phillips curve to the right.","actual inflation and so shifted the long-run Phillips curve to the left.","inflation expectations and so shifted the short-run Phillips curve to the left."
1540,"The Phillips curve would be shifted rightward by:","a decline in inflationary expectations.","a decrease in oil prices.","an increase in inflationary expectations.","a leftward shift of aggregate demand.","an increase in inflationary expectations."
1541,"The oil price shock of the 1970s shifted the short-run Phillips curve","right briefly because the Fed did not accommodate the oil price shock.","right for an extended period because the Fed accommodated the oil price shock.","left briefly because the Fed did not accommodate the oil price shock.","left for an extended period because the Fed accommodated the oil price shock.","right for an extended period because the Fed accommodated the oil price shock."
1542,"Which of the following is a consequence of using monetary policy to fight unemployment created by a supply shock?","current inflation rises","the Phillips curve will not soon revert to its former position","Both a and b are correct.","Neither a nor b are correct.","Both a and b are correct."
1543,"Suppose that a small economy that depends mostly on agriculture experiences a year with exceptionally good conditions for growing crops. The effects of the good weather would shift","both short-run aggregate supply and the short-run Phillips curve right.","both short-run aggregate supply and the short-run Phillips curve left.","the short-run aggregate supply curve to the left, and the short-run Phillips curve to the right.","the short-run aggregate supply curve to the right, and the short-run Phillips curve to the left.","the short-run aggregate supply curve to the right, and the short-run Phillips curve to the left."
1544,"Suppose an economy with high inflation decides to decrease the money supply growth rate","both the current unemployment rate and the natural rate of unemployment fall.","both the current unemployment rate and the natural rate of unemployment rise.","the current rate of unemployment rises, but there is no change in the natural rate of unemployment.","the current rate of unemployment falls, but there is no change in the natural rate of unemployment.","the current rate of unemployment rises, but there is no change in the natural rate of unemployment."
1545,"Suppose the Fed decreased the growth rate of the money supply. Which of the following would permanently decrease?","both the unemployment rate and the inflation rate","the unemployment rate, but not the inflation rate","the inflation rate, but not the unemployment rate","neither the unemployment rate nor the inflation rate","the inflation rate, but not the unemployment rate"
1546,"The annual output of the United States is currently about $10 trillion. If the sacrifice ratio is 3 and the Fed pursues a monetary policy designed to decrease inflation 2 percentage points, what is the cost of reducing inflation?","$500 billion","$600 billion","$5 trillion","$6 trillion","$600 billion"
1547,"If the government’s commitment to low inflation is credible, the sacrifice ratio is","high, so the cost of inflation reduction is high.","high, so the cost of inflation reduction is low.","low, so the cost of inflation reduction is high.","low, so the cost of inflation reduction is low.","low, so the cost of inflation reduction is low."
1548,"The disinflation of the early 1980s was due to:","restrictive monetary policies of the Federal Reserve.","expansionary monetary policies of the Federal Reserve.","restrictive fiscal policy.","expansionary fiscal policy.","restrictive monetary policies of the Federal Reserve."
1549,"Consider the following two sentences. Although the Volcker disinflation came at the cost of high unemployment, the cost was less than most economists predicted. The cost of the disinflation might have been even greater if people had believed that Volcker would really reduce inflation as much as he did.","Both sentences are true.","Neither sentence is true.","Only the first sentence is true.","Only the second sentence is true.","Only the first sentence is true."
1550,"Which of the following is helpful in explaining levels of unemployment and inflation in the late 1990s?","Decreased inflation expectations shifted the short-run Phillips curve to the right.","The U.S. economy experienced some favorable supply shocks during this period.","Both of the above are correct.","None of the above is correct.","The U.S. economy experienced some favorable supply shocks during this period."
1551,"“Leaning against the wind” is exemplified by","a decrease in government expenditures when there is a recession.","an increase in the money supply when there is a recession.","a tax cut when there is an expansion.","None of the above is correct.","an increase in the money supply when there is a recession."
1552,"Those who desire that policymakers stabilize the economy would advocate which of the following when employment is above the natural rate?","increase the money supply","decrease taxes","decrease government expenditures","All of the above are correct.","decrease government expenditures"
