ID, question, Option 1, Option 2, Option 3, Option 4, Answer
1225,"In the Republic of South Africa, the slogans  Freedom in Our Lifetime  and  New South Africa  changed from promises to reality after","Frederik W. de Klerk took over the radical white police force","Untied Nations troops occupied the Transvaal","Nelson Mandela was elected President","the majority of white South Africans returned to Europe","Nelson Mandela was elected President"
1226,"A major problem currently facing the Republic of South Africa is the","continuation of attacks from neighboring Zimbabwe","move toward the creation of a theocratic state","struggle for power between different groups within South Africa s black majority","continued international economic embargo against South Africa","struggle for power between different groups within South Africa s black majority"
1227,"Since the end of apartheid in South Africa, what has been one of the major challenges to the current government?","establishing diplomatic relations with Europe","resolving regional and ethnic rivalries","guaranteeing religious freedom for all groups","improving transportation throughout the country","resolving regional and ethnic rivalries"
1228,"What is the main idea of this 1991 cartoon?","The unification of Germany has been hurt by poor leadership in the country.","The economic differences between East and West Germany have limited the growth of the total German economy.","East Germany's strong economy has strengthened a united Germany.","Both East Germany and West Germany have contributed equally to the new economy of a reunified Germany.","The economic differences between East and West Germany have limited the growth of the total German economy."
1229,"During the late 1980 s, the Soviet Union experienced internal unrest mainly as a result of","widespread protests against involvement in Afghanistan","a lack of raw materials and natural resources","a failure to use modern technology in the military","increased demands of minority ethnic groups","increased demands of minority ethnic groups"
1230,"During the presidency of Mikhail Gorbachev, which problem faced the Soviet Union?","ethnic minorities demanded the right of self-determination","agricultural production grew faster than food consumption","the nations of Eastern Europe insisted that the Soviet Union keep troops in Eastern Europe","Western European nations refused to trade with the Soviet Union","ethnic minorities demanded the right of self-determination"
1231,"Article 50 in accordance with the interests of the people and in order to strengthen and develop the socialist system, citizens of the USSR are guaranteed freedom of speech of the press, and of assembly, meetings, street processions and demonstrations.   Exercise of these political freedoms is ensured by putting public buildings, streets and squares at the disposal of the working people and their organizations, by broad dissemination of information, and by the opportunity to use the press, television, and radio.","constitutional rights guarantee a free society","a national constitution always guarantees human rights","a constitutional guarantee must be very specific in order to be effective","a constitutional guarantee may be limited by government actions","a constitutional guarantee may be limited by government actions"
1232,"During the 1980 s, Mikhail Gorbachev introduced Perestroika in the Soviet Union to","improve the economy and decentralize decision making","abandon arms treaties with the United States and Western Europe","tighten government controls over the communication media","suppress the growing nationalist movements in Eastern Europe","improve the economy and decentralize decision making"
1233,"The revolt in Hungary (1956), the demonstrations in Czechoslovakia (1968), and the formation of solidarity in Poland (1980 s) are similar in that they","were movements in restore the power of the aristocracy","were tolerated by the communist leaders, who accepted the need for change","represented a challenge to communist leadership","represented attempts to rid these countries of western ideas and influence","represented a challenge to communist leadership"
1234,"One result of the collapse of the Soviet Union has been that","some former republics have reorganized the Warsaw Pact","ethnic violence has broken out in some regions","an era of peace and stability has emerged in most of the former republics","the republics have made an east transition to a market economy","ethnic violence has broken out in some regions"
1235,"Polish Communist Party Fails in Election Bid    Romanians Depose Communist Dictator","military buildups are continuing in Eastern Europe","planned economies in Eastern Europe have become increasingly successful","demands for democracy ended many totalitarian governments in Eastern Europe","the Soviet Union stopped independence efforts in Eastern Europe","demands for democracy ended many totalitarian governments in Eastern Europe"
1236,"The Soviet Union Splits into 15 Republics    Yugoslavia Experiences Internal Conflict","communism remains an important force in Europe","many Western European nations are experiencing civil war","international sanctions strengthen a nation s ability to govern","the forces of nationalism can either divide of unite a nation","the forces of nationalism can either divide of unite a nation"
1237,"The initial reaction of the Russian government to the fighting that broke out in Chechnya in the 1990 s demonstrated that Russia","is unwilling to grant independence to dissenting ethnic groups","has little control over its arsenal of nuclear weapons","will defend its remaining republics against foreign invasion","favors reestablishing communism","is unwilling to grant independence to dissenting ethnic groups"
1237,"The initial reaction of the Russian government to the fighting that broke out in Chechnya in the 1990 s demonstrated that Russia","is unwilling to grant independence to dissenting ethnic groups","has little control over its arsenal of nuclear weapons","will defend its remaining republics against foreign invasion","favors reestablishing communism","is unwilling to grant independence to dissenting ethnic groups"
1239,"In many Latin American nations, the leadership roles assumed by the military and by the Roman Catholic Church evolved from","Native American beliefs","the development of the triangular trade","the effects of matriarchal societies","Spanish colonial rule","Spanish colonial rule"
1240,"In many Latin American nations, which group has most resisted social and economic changes since the end of World War II?","poor farmers","the military","union leaders","the middle class","the military"
1241,"The main purpose of the Organization of American States (OAS) is to","integrate the economies of Latin American nations","encourage United States military involvement in the region","destroy the power of Colombian drug lords","provide a way to resolve regional problems peacefully","provide a way to resolve regional problems peacefully"
1242,"During the last ten years, what has occurred in many of the nations of Latin America?","successful communist revolutions","an increase in the number of popularly elected leaders","a growing dependence on Cuba for economic support","a return to their former colonial status","an increase in the number of popularly elected leaders"
1243,"Which group has been a major force in calling for the protection of human rights in Central America during the 1980 s and 1990 s?","Caudillos","military generals","Landowners","liberation theology clergy","liberation theology clergy"
1244,"Brazil s establishment of an equal partnership with foreign investors and Venezuela s control of its highly profitable oil industry are examples of","Neocolonialism","new imperialism","economic nationalism","Fascism","economic nationalism"
1245,"At the present time, which is a major economic problem for many Latin American governments?","increased settlement in rural areas","low rates of inflation","inability to pay foreign debts","lack of a chief executive","inability to pay foreign debts"
1246,"Which major economic problem has been faced by many Latin American nations throughout their histories?","lack of capital for industrial development","declining birthrate","widespread acceptance of Marxist economic policies","lack of labor for factories","lack of capital for industrial development"
1247,"During the 20th century, a major course of political problems in Latin American has been","a decrease in population","the declining importance of international trade","widespread poverty","increasing social mobility","widespread poverty"
1248,"Which has been an important factor that has discouraged investment in the economic developments of many Latin American nations?","lack of natural resources","history of colonial dependence","declining birthrate","political instability","political instability"
1249,"Which statement best describes the Roman Catholic Church in most Latin American countries in the 1980 s?","the activities of the church are controlled by the national governments","the church has confined its activities to religious issues","the church has become active in social and human rights issues","most people see the church as having little influence in daily life","the church has become active in social and human rights issues"
1250,"Which type of government has resulted from the changing political trends in much of Latin America during the 1990 s?","monarchy","military juntas","democracy","fascism","democracy"
1251,"A major problem facing many Central American nations is that their nation s wealth is","generally invested in consumer industries","controlled by a small group of landed elite","distributed throughout the large middle class","held mainly by government agencies","controlled by a small group of landed elite"
1252,"In the 20th century, an economic weakness of many Central American nations has been","a reliance on monsoons for water to irrigate crops","an overdependence on one or two cash crops for export","chronic labor shortages caused by slow population growth","excessive investment in foreign manufacturing industries","an overdependence on one or two cash crops for export"
1253,"Since World War II, what action have many Latin American nations taken to improve their economies?","reinforcing traditional farming methods","encouraging citizens to emigrate to other nations","adopting protectionist policies","encouraging industrial development","encouraging industrial development"
1254,"In Latin America during the 1960 s and 1970 s, which group became increasingly active in promoting human rights?","wealthy landholders","Roman Catholic clergy","successful industrialists","military leaders","Roman Catholic clergy"
1255,"Which political trend exists in present-day Latin America?","Most countries are becoming military juntas.","Communism is spreading throughout the region.","Democracy is replacing dictatorship.","Religious leaders are making government policy.","Democracy is replacing dictatorship."
1256,"Which conclusion about the North Atlantic Treaty Organization (NATO) can be drawn from this 1994 cartoon?","NATO did not react quickly enough to the crisis in Bosnia.","Bosnia and NATO continue to disagree about the causes of the civil war.","NATO's actions have allowed communism to take advantage of the destruction of Bosnia.","The United States will probably withdraw from NATO as a result of the Bosnian crisis.","NATO did not react quickly enough to the crisis in Bosnia."
1257,"Russia Takes Soviet Union Seat","is usually dominated by industrialized countries","generally relies on the use of force to enforce its decisions","responds to changing political conditions","permits developing nations to block the proposals of Westerns nations","responds to changing political conditions"
1258,"Recent events in the former nations of Czechoslovakia and Yugoslavia reflect a nationalist trend of","dividing nations along ethnic lines","encouraging multiethnic cooperation","uniting nations with similar interests","supporting the development of a command economy","dividing nations along ethnic lines"
1259,"Disputes over India s control of Kashmir, Jammu, and Punjab are examples of the continuing problem of","territorial claims based on religion","Chinese claims to this region","terrorist actions by Serbian refugees","the policy of nonalignment","territorial claims based on religion"
1260,"One reason North Korea has been the focus of worldwide attention in the mid-1990 s is because of its","nuclear weapons development programs","commitment to increasing political freedoms","development of a strong and expanding economy","efforts to revive communism in Eastern Europe","nuclear weapons development programs"
1261,"The major goal of many minority groups, such as the Kurds, Tamils, and Sikhs, is to","obtain self-rule and economic control of a homeland","establish a multicultural state","install Christianity as the state religion","acquire economic aid from the World Bank","obtain self-rule and economic control of a homeland"
1262,"Under the leadership of Fidel Castro, Cuba has become an example of","the success of democracy in improving conditions in a developing nation","a nation in which the efforts of the United Nations has improved human rights","a communist government struggling to maintain power despite economic problems","the successful reform of agriculture from single-crop to multicrop production","a communist government struggling to maintain power despite economic problems"
1263,"Since the end of the Cold War, Cuba has experienced","the loss of a major source of its foreign financial support","increased economic growth from expanded trade","expanded political influence in Latin American affairs","greater independence from Communist China","the loss of a major source of its foreign financial support"
1264,"In France, a person drinks coffee imported from Brazil, works at a computer made in Japan, and uses gasoline from Saudi Arabia in a German automobile.  This situation illustrates the concept of","empathy","scarcity","interdependence","world citizenship","interdependence"
1265,"Japan sells cars to the United States, the United States exports high technology to Saudi Arabia, and Saudi Arabia exports oil to Japan.  Which is a valid conclusion that can be drawn from this statement?","Saudi Arabia controls most of the world's natural resources","The United States is the world's leading exporter","most nations of the world specialize in one export","the nations of the world are economically interdependent","the nations of the world are economically interdependent"
1266,"Global problems of uneven economic development, environmental pollution, and hunger reflect the need for","a return to policies of economic nationalism","increased military spending by all nations","a reduction in foreign aid provided by industrialized nations","increased international cooperation","increased international cooperation"
1267,"The Middle East is a global importance today because it","has become a model of economic and political equality","allows major European powers to retain their spheres of influence","provides much of the petroleum used by industrial nations","remains a primary source of uranium","provides much of the petroleum used by industrial nations"
1268,"A major purpose of the Organization of African Unity (OAU), the Organization of American States (OAS), and the European Union (EU) is to","encourage political and economic cooperation between member nations","end colonialism in member nations","control overpopulation in member nations","provide military assistance to member nations","encourage political and economic cooperation between member nations"
1269,"In the past decade, Japanese automobile manufacturers have sought to improve Japanese-American trade relations by","drastically lowering the price of Japanese automobiles for American consumers","allowing an unlimited number of American automobiles to be sold in Japan","importing most spare parts from Mexico","building an increasing number of Japanese automobiles in the United States","building an increasing number of Japanese automobiles in the United States"
1270,"In recent years, a major success of the European Union (EU) has been the","creation of a single military force","rejection of national sovereignty","adoption of a single language","elimination of trade barriers","elimination of trade barriers"
1271,"The major reason the Mexican Government strongly supported the North American Free Trade Agreement (NAFTA) was that this agreement would","raise tariffs on United States products entering Mexico","reduce Mexico s economic dependence on Europe","promote investment and economic growth in Mexico","stimulate trade between Asia and Latin America","promote investment and economic growth in Mexico"
1272,"Within the past decade, the decision of the United States Government to grant China  most favored nation  status was important to China because this decision","allowed China to join the Southeast Treaty Organization (SEATO)","increased China s ability to trade with the United States","helped protect China from a possible Japanese invasion","eliminated Russian influence in East Asia","increased China s ability to trade with the United States"
1273,"Modern Japan must trade to maintain its industry and living standard because Japan has","a limited amount of investment capital","little access to the sea","a lack of communication systems","few mineral resources","few mineral resources"
1273,"Modern Japan must trade to maintain its industry and living standard because Japan has","a limited amount of investment capital","little access to the sea","a lack of communication systems","few mineral resources","few mineral resources"
1275,"The main idea of this cartoon is that Japan","practices free trade","restricts foreign imports","has a policy of balanced trade","imports most of its ships","restricts foreign imports"
1276,"Which action will help slow the trend indicated by the graph?","expanding Green Revolution technology","increasing industrialization in developing nations","using alternative energy sources","lowering worldwide oil prices","using alternative energy sources"
1277,"Which conclusion can be drawn from the information in the chart?","Developing countries are instituting programs to limit the growth of their populations.","Infant mortality is a greater problem in Africa than in Asia.","The nations with relatively low birthrates have relatively high per capita incomes.","The national birthrate is determined by many different factors.","The nations with relatively low birthrates have relatively high per capita incomes."
1278,"In many Latin American nations, reliance on the production of a single cash crop has led to","economic dependence on other nations","rapid repayment of foreign loans","a high per capita Gross National Product","development of a strong industrial economy","economic dependence on other nations"
1279,"Which fact about China has been the cause of the other three?","the economy of China has trouble providing for all the needs of the people","the Chinese government has set limits on the number of children families may have","Chinese cities have a severe shortage of housing","China s population exceeds one billion","China s population exceeds one billion"
1280,"Since the collapse of the Soviet Union in the early 1990 s, Russia has attempted to build an economic system based on","a return to feudalism","the ideas of Marx and Lenin","the writings of Mao Zedong","free-market a system","free-market a system"
1281,"Which conclusion is valid concerning the food shortages some nations of Africa and Asia during the 1970 s and 1980 s?","misuse of the land has destroyed many rich food-producing regions","too few people in Africa and Asia are involved in food production","acid rain has been the major cause of crop failures","European nations stopped shipping food to these regions","too few people in Africa and Asia are involved in food production"
1282,"Which statement is best supported by the data in the graph?","The urban areas of Honduras and Panama require the largest supply of water in Central America.","Belize and Costa Rica are meeting the water needs of their urban population.","Urban water supplies are declining in many Central American countries.","Most Central American countries experienced a decrease in urban population between 1980 and 1988.","Belize and Costa Rica are meeting the water needs of their urban population."
1283,"In Mexico and India, the Green Revolution has been successful because it has","promoted democratic reform","increased agricultural productivity","introduced western culture and values","established economic equality among the people","increased agricultural productivity"
1284,"The major goal of the Green Revolution has been to","decrease the use of modern farm machinery","decrease population growth","increase agricultural output","increase the number of traditional farms","increase agricultural output"
1285,"The term ?Green Revolution? is used to describe the","tensions between developing and developed nations","heavy reliance on manual labor in agriculture","protests against environmental destruction caused by industry","development of new types of grains and new methods of growing them","development of new types of grains and new methods of growing them"
1286,"The main goal of the Green Revolution was to","prevent further destruction of the world?s rain forests","solve chronic food shortages through the use of technology","expand the economies of developing nations with foreign investment","insure that foreign aid was received by people with the greatest need","solve chronic food shortages through the use of technology"
1287,"A study of the accident at the Chernobyl nuclear power plant in the Soviet Union and of severe air pollution in Mexico would lead to the conclusion that","technology can cause problems throughout the world","international trade is more profitable than domestic commerce","modern science cannot solve most political problems","agricultural nations have caused major world environmental problems","technology can cause problems throughout the world"
1288,"A major environmental problem affecting Latin America, Sub-Saharan Africa, and Southeast Asia has been","air pollution","Deforestation","disposal of nuclear waste","acid rain","Deforestation"
1289,"Many scientist believe that the ?greenhouse effect? is the result of","overgrazing on land in developing nations","using large amounts of gasoline, oil, and coal in developed nations","testing nuclear weapons in violation of the Nuclear Test Ban Treaty","using natural fertilizers to increase crop production","using large amounts of gasoline, oil, and coal in developed nations"
1290,"A major factor contributing to the destruction of the Amazon rain forests is the","movement of people from rural to urban areas","attempt of native peoples to end illegal drug traffic","need for more farmland","spread of Christianity","need for more farmland"
1291,"The amount of carbon dioxide in the atmosphere has increased in recent years.  Environmentalists suggest this change is a direct result of the","improper storage of solid and nuclear waste","overcutting of forests and the increased use of fossil fuels","dumping of inorganic material into lakes and rivers","use of herbicides and toxic substances such as asbestos and DDT","overcutting of forests and the increased use of fossil fuels"
1292,"In developing countries, the use of wood, charcoal, and dung as major sources of energy has created an increase in","economic dependence on industrialized nations","sales an profits for international oil corporations","deforestation and other environmental problems","nuclear waste products","deforestation and other environmental problems"
1293,"A negative impact of the use of modern technology is that","levels of air and water pollution often increase","economic opportunities are frequently limited","contacts with other cultures decrease","international trade is limited","levels of air and water pollution often increase"
1294,"In Latin America, the deforestation of the Amazon rain forest has led to","the maintenance of a traditional way of life","the discovery of new medicines","overpopulation in rural regions","environmental dangers","environmental dangers"
1295,"In the 1980?s, the governments of both Brazil and Malaysia supported the cutting of timber in their rain forests as a means of","achieving economic prosperity","increasing the national debt","controlling rebellions of indigenous peoples","preventing exploitation by imperialist nations","achieving economic prosperity"
1296,"?What harms the victim most is not the cruelty of the oppressor, but the silence of the bystander.?","totalitarian governments generally support civil liberties","nations of the world must always condemn human rights violations whenever they occur","ethnic cleansing is not an issue to be addressed by the United Nations","demonstrations against human rights violations are of limited value","nations of the world must always condemn human rights violations whenever they occur"
1297,"?United States Adopts Economic Sanctions Against South Africa?  ?Chinese Dissidents Imprisoned After Student Protest?","imperialist expansion","peasant revolts","human rights violation","isolationist policies","human rights violation"
1298,"The Tiananmen Square massacre in China was a reaction to","Deng Xiaoping?s plan to revive the Cultural Revolution","student demands for greater individual rights and freedom of expression","China?s decision to seek Western investors","Great Britain?s decision to return Hong Kong to China","student demands for greater individual rights and freedom of expression"
1299,"Which statement best describes a result of the student demonstrations in Beijing?s Tiananmen Square in 1989?","prodemocracy protestors were successful in achieving their goals","a state-controlled education program was begun","the government further restricted freedom of expression in China","collectivization programs were started in China","the government further restricted freedom of expression in China"
1300,"A common problem facing most Latin American and Eastern European nations today is that these nations","have little arable land and few mineral resources with which to improve their economies","have chosen not to belong to international organizations","are struggling with a transition to democracy after experiencing years of dictatorial rule","are experiencing major problems with the flood of illegal immigrants entering their nations","are struggling with a transition to democracy after experiencing years of dictatorial rule"
1301,"Today, human rights violations most often occur in nations in which","freedom of the press exists","government is limited by law","leaders have absolute control","government has a multiparty system","leaders have absolute control"
1302,"An analysis of the Chinese student demonstrations in Tiananmen Square in 1989 would show that","communist governments continue to have little control over the actions of their citizens","totalitarian governments frequently survive by the use of force","peaceful demonstrations often succeed in achieving democratic reforms","negative global reaction sometimes leads to economic decline","totalitarian governments frequently survive by the use of force"
1302,"An analysis of the Chinese student demonstrations in Tiananmen Square in 1989 would show that","communist governments continue to have little control over the actions of their citizens","totalitarian governments frequently survive by the use of force","peaceful demonstrations often succeed in achieving democratic reforms","negative global reaction sometimes leads to economic decline","totalitarian governments frequently survive by the use of force"
1304,"Which observation about the impact of colonialism on African development is most valid?:","European nations respected the heritage of the ancient African kingdoms.","historians have proved that the positive effects of colonialism have outweighted the negative effects.","colonialism introduced Africans to a variety of non-African cultures.","without the colonization of Africa, the continent would have continued in a period of stagnation.","colonialism introduced Africans to a variety of non-African cultures."
1305,"Which was a characteristic of Western European nations that most enabled them to establish colonies in Africa and Asia?:","rigid social class structures.","frequent political revolutions.","self-sufficienty in natural resources.","advanced technology.","advanced technology."
1306,"Which of the folowing was a major result of European imperialism in sub-Saharan Africa during the late 19c and early 20c?:","adoption of Islam as the dominant African religion.","decline of traditional African cultures.","strengthening of tribal organization.","beginning of slavery.","decline of traditional African cultures."
1307,"Which was a major effect of European rule in Africa?:","decreased dependence of African nations on imports.","development of subsistence agriculture.","improved transportation and communication systems.","increased use of barter as a basis of their economies.","improved transportation and communication systems."
1308,"European imperialism promoted the development of nationalism in Asian and African countries by?:","unintentionally uniting people to oppose foreign domination.","promoting free trade associations among the colonies.","establishing Christianity as the common religion throughout the continent.","discouraging patriotic feelings toward the mother country.","unintentionally uniting people to oppose foreign domination."
1309,"Which of the following is an accurate statement about the partitioning of Africa by European imperialist nations during the 1800s?:","new nations were based on old tribal boundaries.","the cultural and ethnic diversity of the African people was disregarded.","the continent was divided equally among the colonial powers.","African unity was encouraged.","the cultural and ethnic diversity of the African people was disregarded."
1310,"European imperialism in Africa in the late 19c and early 20c resulted from all of the following motives EXCEPT the?:","demand for raw materials.","desire to spread Christianity.","desire for large empires.","need for slaves.","need for slaves."
1311,"Which statement BEST describes the impact of European rule on traditional African cultures?:","it encouraged unity among the peoples of Africa.","it caused exports from africa to decline.","it reduced the influence of local African rulers.","it strengthened family ties in the villages.","it reduced the influence of local African rulers."
1312,"The Berlin Conference of 1884-1885 showed that European nations?:","wanted to end the African slave trade.","were ready to carve up Africa among themselves.","wanted to convert Africans to Christianity.","were ready to begin exploring the interior of Africa.","were ready to carve up Africa among themselves."
1313,"In the early 1800s, which two groups were competing for control of South Africa?:","Boers and Zulus.","Muslims and Hausa.","British and Germans.","Belgians and French.","Boers and Zulus."
1314,"Indirect rule as practiced by the British had all of the following characteristics EXCEPT?:","British authorities made the law for the colony.","local rulers kept some of their traditional authority.","British authorities and considerable authority.","local rulers were replaced by British officials.","local rulers were replaced by British officials."
1315,"About half of the Congo Free State died between 1885 and 1908 as a result of?:","the Boer War.","a yellow fever epidemic.","Jihadists.","brutal treatment by European companies.","brutal treatment by European companies."
1316,"Why did westerners in the early 1800s call Africa the Dark Continent?:","they got a lot of coal from Africa.","they knew very little about the land.","the sun rarely shone on Africa.","the overgrowth in the rain forests made it dark.","they knew very little about the land."
1317,"Discovery of a treatment for which disease allowed Europeans to venture into the African interior?:","smallpox.","tuberculosis.","malaria.","scarlet fever.","malaria."
1318,"The Scramble for Africa led to the European colonication of the whole African continent EXCEPT?:","Egypt and South Africa.","Liberia and Ethiopia.","Nigeria and Morocco.","Kenya and the Congo.","Liberia and Ethiopia."
1319,"Cecil Rhodes made his African fortune by?:","mining gold and diamonds.","planting bananas, melons, and other exotic fruits.","building steamships that sailed up and down the Nile River.","planting and processing rubber.","mining gold and diamonds."
1320,"Colonial officials often discouraged native peoples from?:","learning European languages.","converting to Christianity.","adopting Western lifestyles.","practicing traditional customs and rituals.","practicing traditional customs and rituals."
1321,"After many Kenyans died fighting the Germans in World War I, the British?:","granted Kenya full independence.","allowed European settlers to seize the land of the native Kenyans.","asked Jomo Kenyatta to help further Kenyan nationalism.","let Harry Thuku govern Kenya for them.","allowed European settlers to seize the land of the native Kenyans."
1322,"Britain wanted to establish a colony in southern Africa to?:","train missionaries for work in Africa.","provide a homeland for former slaves.","control the Dutch missionaries there.","protest the route to India.","protest the route to India."
1323,"Which nation adopted and then largely abandoned the policy of assimilation in Africa?:","France.","Britain.","the United States.","Belgium.","France."
1324,"Until the late 1800s, Europeans were discouraged from conquering Africa by all of the following EXCPEPT?:","malaria.","impassable rivers.","Social Darwinism.","powerful African armies.","Social Darwinism."
1325,"Which of the following was NOT a goal of independent African explorers?:","finding the source of Africa\'s mighty rivers.","stirring up political unrest so that their imperial sponsors could move in and take advantage of the resulting chaos.","assessing the continent\'s possible mineral wealth.","scouting out locations for possible Christian missions.","stirring up political unrest so that their imperial sponsors could move in and take advantage of the resulting chaos."
1326,"This African kingdom conquered Egypt in the 8c BCE?:","Kush.","Axum.","Ghana.","Zimbabwe.","Kush."
1327,"The mixing of Bantu and Arabic cultures resulted in the?:","Bantu migrations.","development of Swahili.","spread of iron smelting.","rise of Great Zimbabwe.","development of Swahili."
1328,"East African city-states grew wealthy primarily through?:","plantation agriculture.","manufacturing.","military conquests.","trade.","trade."
1329,"The kingdom of Ethiopia is distinctive in Africa for its?:","early abolition of the slave trade.","conversion to Coptic Christianity.","weak central government.","very early conversion to Islam.","conversion to Coptic Christianity."
1330,"What is the main reason the city-states of East Africa became multicultural?:","Arab and Persian traders settled in the city-states.","the gold trade made them rich.","African traders sailed to the Arabian Peninsula.","iron from the city-states became widely used in the Arabian Peninsula and South Asia.","Arab and Persian traders settled in the city-states."
1331,"Great Zimbabwe was the?:","military leader who unified the Khoisan peoples.","great temple in Timbuktu.","capital of a vast empire in south Africa.","military and and economic alliance of the city-states of East Africa.","capital of a vast empire in south Africa."
1332,"Axum prospered partly because it had a port on the?:","Red Sea.","Atlantic Ocean.","Mediterranean Sea.","Zambezi River.","Red Sea."
1333,"People of the East African coastal towns who practiced various animistic religions were eventually converted to?:","Hinduism.","Christianity.","Judaism.","Islam.","Islam."
1334,"A major factor in the development of 20c nationalist movements throughout Africa was a common?:","language throughout most of Africa.","goal to end European rule in Africa.","ethnic bond among the people of Sub-Saharan Africa.","religion throughout most of Africa.","goal to end European rule in Africa."
1335,"The boundaries of modern African nations do not usually follow tribal boundaries mainly because?:","African nations are trying to decrease tribal influence.","most tribes are unwilling to cooperate with the new national governments.","modern national boundaries tend to follow former colonial boundaries.","tribes have lost their importance in the lives of modern Africans.","modern national boundaries tend to follow former colonial boundaries."
1336,"During the 1950s and 1960s, the history of most African countries was characterized by?:","colonization by imperialist nations.","the achievement of political independence.","a sharp decrease in the birth rate.","the development of economic self-sufficiency.","the achievement of political independence."
1337,"The term Pan-Arabism can best be defined as a movement whose purpose is to?:","promote African unity.","encourage European investment in Africa.","support cultural diversity.","advocate a return to colonial conditions.","promote African unity."
1338,"The economic systems of most newly independent African nations have been characterized by?:","private ownership with a minimum of government involvement.","a Communist model of government ownership of agriculture.","self-sufficiency with few exports or imports.","a mixture of government and private ownership.","a mixture of government and private ownership."
1339,"One way in which Kwame Nkrumah, Jomo Kenyatta, and Patrice Lumumba are similar is that that all?:","supported the United States military action in the Persian Gulf War.","played a major role in independence movements in Africa.","rejected financial aid from the World Bank.","opposed the Pan-African movement.","played a major role in independence movements in Africa."
1340,"We are Nigerians and we wish to remain so.  We have our own customs and our own traditions.  Our immediate goal should be to develop the wealth of our country and improve our standard of living. This quotation is an expression of?:","mercantilism.","totalitarianism.","imperialism.","nationalism.","nationalism."
1341,"Many modern African nations depend on foreign aid because these nations?:","have many different ethnic groups.","want to have power in the United Nations.","need help in developing their economies.","want to establish democratic governments.","need help in developing their economies."
1342,"What was one factor that contributed to the downfall of apartheid in the Republic of South Africa?:","the African National Congress was outlawed.","Afrikaaners demanded that only they should have ruling power.","many foreign countries boycotted South African products.","President de Klerk and Desmond Tutu were imprisoned.","many foreign countries boycotted South African products."
1343,"Tribalism in modern African nations has frequently resulted in political?:","disunity.","equality.","interdependence.","harmony.","disunity."
1344,"Which statement BEST describes the significance of awarding the 1984 Nobel Peace Prize to Bishop Desmund Tutu of South Africa?:","the world community was endorsing the apartheid practices of the old white government of South Africa.","the European policy of remaining neutral in regard to human rights issues was reaffirmed.","the separation of church and state was promoted as a universal concept.","non-violence was recognized as a way to bring about change in South Africa.","non-violence was recognized as a way to bring about change in South Africa."
1345,"In most of the nations of Africa, an important economic problem has been?:","a shortage of unskilled labor.","an increase in agricultural surpluses.","a lack of capital for investment.","excessive industrialization.","a lack of capital for investment."
1346,"Which statement is most accurate about many African societies today?:","modern medicines have been ineffective in decreasing infant mortality throughout Africa.","new attitudes and values often clash with traditional tribal practices.","agriculture is no longer the most important economic activity in Africa.","European influence no longer exists in the former colonial territories.","new attitudes and values often clash with traditional tribal practices."
1347,"Ethnicity and regionalism in Nigeria led to?:","a tragic civil war.","an increase in export crops.","widespread government corruption.","the restoration of civilian rule.","a tragic civil war."
1348,"African nations organized regional groups to?:","reduce the poewr of OPEC.","support the Free World in the Cold War.","give landlocked nations access to the sea.","encourage economic development.","encourage economic development."
1349,"One result of the Sharpeville massacre was?:","the enactment of pass laws.","the formation of the African National Congress.","worldwide protests against the South African government.","the repeal of laws that classified people by race.","worldwide protests against the South African government."
1350,"The Belgian Congo was renamed Zaire in order to?:","reject its colonial past.","make Belgians leave.","force the UN to recognize its independence.","end the civil war there.","reject its colonial past."
1351,"Before the late 1990s, blacks in South Africa?:","could vote but could no form labor unions.","were forced to live in Bantustans.","had to vote for the African National Congress.","could not work in industry.","were forced to live in Bantustans."
1352,"Cash crops are important to most African countries because these crops?:","can be sold abroad to bring money into the country.","are used for food by the farmers and their families.","sell for higher prices than machinery and oil.","are always in great demand by other countries.","can be sold abroad to bring money into the country."
1353,"In Rwanda, more than 500,000 Tusis died as a result of?:","battles in an effort to stop the invasion of their country by Somalia.","starvation.","massacres by Hutu extremists.","being imprisoned for treason by their own government.","massacres by Hutu extremists."
1354,"The colonial capital of African colonies usually became the capital of an independent African nation because?:","it was usually the largest city.","it already had good communication and transportation facilities.","it was the country\'s most prosperous market.","all of these choices are correct.","all of these choices are correct."
1355,"Which of the following statements is true regarding African nations in the United Nations?:","they are not allowed full membership.","they are an important voice for other developing countries.","they are a dividing force in the UN Security COouncil.","they are under-represented in comparison with other regions in the world.","they are an important voice for other developing countries."
1356,"Which of the following countries became a battleground for the Cold War in Africa?:","Tanzania and Zaire.","Kenya and Ghana.","Angola and Mozambique.","South Africa and Zimbabwe.","Angola and Mozambique."
1357,"Why did United Nations forces intervene in Somalia in December 1992?:","to help victims of famine there.","to establish new colonies in that region.","to defeat communist forces there.","to stop the expansion of Somalia into Tanzania.","to help victims of famine there."
1358,"Since the African National Congress came to power in South Africa in 1994, its primary aim has been to?:","establish one-party rule in South Africa.","unite the people of South Africa in a democratic republic.","restore Dutch influence on South African culture.","create a homeland for white separatists.","unite the people of South Africa in a democratic republic."
1359,"The Hausa and Ibo of Nigeria and the Hutus and the Tutsis of Rwanda are similar in that?:","their differences led to disastrous civil wars.","they failed to unite to oust their colonial masters.","their economic wealth led to declarations of independence.","they quickly developed a common culture.","their differences led to disastrous civil wars."
